nm, %T
800.000000, 43.320400
799.000000, 43.352500
798.000000, 43.308200
797.000000, 43.251400
796.000000, 43.320000
795.000000, 43.152400
794.000000, 43.112500
793.000000, 43.073300
792.000000, 43.064200
791.000000, 43.062100
790.000000, 43.015800
789.000000, 42.981600
788.000000, 43.002300
787.000000, 42.892800
786.000000, 42.891300
785.000000, 42.808600
784.000000, 42.782600
783.000000, 42.728400
782.000000, 42.655800
781.000000, 42.648900
780.000000, 42.573600
779.000000, 42.591200
778.000000, 42.627200
777.000000, 42.582300
776.000000, 42.551300
775.000000, 42.498700
774.000000, 42.441000
773.000000, 42.455200
772.000000, 42.396300
771.000000, 42.356900
770.000000, 42.364000
769.000000, 42.293300
768.000000, 42.302300
767.000000, 42.223200
766.000000, 42.219100
765.000000, 42.169200
764.000000, 42.227600
763.000000, 42.110900
762.000000, 42.121300
761.000000, 42.080300
760.000000, 42.005300
759.000000, 42.048300
758.000000, 42.001500
757.000000, 41.993700
756.000000, 41.995200
755.000000, 41.928900
754.000000, 41.877600
753.000000, 41.854200
752.000000, 41.876200
751.000000, 41.827000
750.000000, 41.780000
749.000000, 41.720800
748.000000, 41.731600
747.000000, 41.720900
746.000000, 41.727700
745.000000, 41.686300
744.000000, 41.649200
743.000000, 41.611500
742.000000, 41.593000
741.000000, 41.550000
740.000000, 41.524900
739.000000, 41.557900
738.000000, 41.535500
737.000000, 41.497600
736.000000, 41.447500
735.000000, 41.466200
734.000000, 41.437700
733.000000, 41.399500
732.000000, 41.395700
731.000000, 41.384300
730.000000, 41.339200
729.000000, 41.343900
728.000000, 41.332400
727.000000, 41.327700
726.000000, 41.315200
725.000000, 41.281400
724.000000, 41.250900
723.000000, 41.243000
722.000000, 41.257800
721.000000, 41.239500
720.000000, 41.213800
719.000000, 41.225400
718.000000, 41.195000
717.000000, 41.196500
716.000000, 41.173200
715.000000, 41.129100
714.000000, 41.119600
713.000000, 41.076300
712.000000, 41.055000
711.000000, 41.053200
710.000000, 41.067000
709.000000, 41.061600
708.000000, 41.041500
707.000000, 41.000300
706.000000, 41.017600
705.000000, 40.995500
704.000000, 40.986700
703.000000, 40.987500
702.000000, 40.979700
701.000000, 40.934300
700.000000, 40.906400
699.000000, 40.869000
698.000000, 40.848000
697.000000, 40.833600
696.000000, 40.841700
695.000000, 40.866500
694.000000, 40.856800
693.000000, 40.852900
692.000000, 40.859900
691.000000, 40.771800
690.000000, 40.609900
689.000000, 40.597800
688.000000, 40.605800
687.000000, 40.604100
686.000000, 40.598200
685.000000, 40.552300
684.000000, 40.577100
683.000000, 40.579500
682.000000, 40.539600
681.000000, 40.489000
680.000000, 40.473600
679.000000, 40.496700
678.000000, 40.510000
677.000000, 40.486100
676.000000, 40.482000
675.000000, 40.474300
674.000000, 40.446300
673.000000, 40.439400
672.000000, 40.446000
671.000000, 40.412700
670.000000, 40.398200
669.000000, 40.386000
668.000000, 40.375900
667.000000, 40.381900
666.000000, 40.391500
665.000000, 40.375200
664.000000, 40.359900
663.000000, 40.361200
662.000000, 40.343400
661.000000, 40.340800
660.000000, 40.338800
659.000000, 40.325300
658.000000, 40.333300
657.000000, 40.328000
656.000000, 40.282500
655.000000, 40.251600
654.000000, 40.233500
653.000000, 40.220300
652.000000, 40.220800
651.000000, 40.212300
650.000000, 40.193500
649.000000, 40.195400
648.000000, 40.207400
647.000000, 40.190200
646.000000, 40.197900
645.000000, 40.206000
644.000000, 40.186800
643.000000, 40.184600
642.000000, 40.190700
641.000000, 40.173100
640.000000, 40.141900
639.000000, 40.133100
638.000000, 40.126800
637.000000, 40.137300
636.000000, 40.148200
635.000000, 40.154300
634.000000, 40.174800
633.000000, 40.176900
632.000000, 40.147700
631.000000, 40.147600
630.000000, 40.146500
629.000000, 40.106400
628.000000, 40.083800
627.000000, 40.075600
626.000000, 40.072600
625.000000, 40.054700
624.000000, 40.060500
623.000000, 40.054100
622.000000, 40.057600
621.000000, 40.050200
620.000000, 40.041500
619.000000, 40.045600
618.000000, 40.047500
617.000000, 40.043300
616.000000, 40.041100
615.000000, 40.016000
614.000000, 39.993500
613.000000, 39.995500
612.000000, 40.028900
611.000000, 40.050300
610.000000, 40.034000
609.000000, 40.025400
608.000000, 40.020100
607.000000, 39.990500
606.000000, 40.009000
605.000000, 40.053200
604.000000, 40.045300
603.000000, 40.014100
602.000000, 40.017900
601.000000, 40.015900
600.000000, 40.013400
599.000000, 39.988800
598.000000, 40.024300
597.000000, 40.014000
596.000000, 40.009700
595.000000, 40.038600
594.000000, 40.036500
593.000000, 40.019000
592.000000, 40.010600
591.000000, 40.013400
