Sample ID, Description, T_420nm, T_360nm, T_620nm, T_400nm
Sample2642, , 40.61, 36.92, 41.65, 40.12
Sample2641, , 49.54, 45.37, 51.11, 49.06
Sample2640, , 72.94, 67.43, 75.36, 72.32
Sample2639, , 76.16, 70.56, 78.23, 75.35
Sample2638, , 76.66, 71.21, 78.74, 75.99
Sample2637, , 0.9958, 1.287, 0.9233, 0.9867
Sample2636, , 14.46, 13.86, 15.04, 14.43
Sample2635, , 35.99, 33.76, 37.95, 35.63
Sample2634, , 58.68, 53.74, 62.12, 57.92
Sample2633, , 71.79, 65.47, 75.37, 70.92
Sample2632, , 75.12, 69.52, 77.81, 74.52
