nm, %T
800.000000, 15.013943
799.000000, 15.034427
798.000000, 14.999238
797.000000, 15.059397
796.000000, 15.039474
795.000000, 15.064747
794.000000, 15.034387
793.000000, 15.071518
792.000000, 15.074702
791.000000, 15.049893
790.000000, 15.045634
789.000000, 15.094366
788.000000, 15.054079
787.000000, 14.980370
786.000000, 15.026357
785.000000, 15.003060
784.000000, 15.030877
783.000000, 15.072177
782.000000, 15.020935
781.000000, 15.062991
780.000000, 15.069668
779.000000, 15.094667
778.000000, 15.033594
777.000000, 15.052029
776.000000, 15.006592
775.000000, 15.119992
774.000000, 15.074338
773.000000, 15.050924
772.000000, 15.037161
771.000000, 15.075230
770.000000, 15.046502
769.000000, 15.014671
768.000000, 15.005567
767.000000, 15.068493
766.000000, 15.076352
765.000000, 15.082098
764.000000, 15.045610
763.000000, 15.103216
762.000000, 15.006422
761.000000, 15.080216
760.000000, 15.017629
759.000000, 15.071240
758.000000, 15.063986
757.000000, 15.067736
756.000000, 15.046958
755.000000, 15.083868
754.000000, 15.076556
753.000000, 15.032422
752.000000, 15.005421
751.000000, 15.010161
750.000000, 15.053135
749.000000, 15.054361
748.000000, 15.063166
747.000000, 15.073021
746.000000, 15.036055
745.000000, 15.057225
744.000000, 15.028860
743.000000, 15.056655
742.000000, 15.088356
741.000000, 15.110951
740.000000, 15.091668
739.000000, 15.047199
738.000000, 15.041591
737.000000, 15.036050
736.000000, 15.041197
735.000000, 15.035861
734.000000, 15.032446
733.000000, 15.048732
732.000000, 15.062676
731.000000, 15.032512
730.000000, 15.032463
729.000000, 15.017451
728.000000, 15.020178
727.000000, 15.023096
726.000000, 15.018444
725.000000, 15.002883
724.000000, 14.989006
723.000000, 15.032369
722.000000, 15.014131
721.000000, 15.001394
720.000000, 15.010264
719.000000, 15.007253
718.000000, 15.019784
717.000000, 15.026034
716.000000, 15.004177
715.000000, 15.029748
714.000000, 15.017656
713.000000, 15.024722
712.000000, 15.024479
711.000000, 15.015882
710.000000, 15.010349
709.000000, 15.002581
708.000000, 14.998964
707.000000, 15.023305
706.000000, 15.034766
705.000000, 15.043602
704.000000, 15.026826
703.000000, 15.009210
702.000000, 14.986200
701.000000, 14.997691
700.000000, 15.014032
699.000000, 15.028995
698.000000, 15.029867
697.000000, 15.040555
696.000000, 15.031940
695.000000, 14.991497
694.000000, 14.995545
693.000000, 15.021945
692.000000, 15.027203
691.000000, 15.024846
690.000000, 15.042145
689.000000, 15.060422
688.000000, 15.036768
687.000000, 15.040107
686.000000, 15.041800
685.000000, 15.027754
684.000000, 15.018816
683.000000, 15.043803
682.000000, 15.073163
681.000000, 15.067055
680.000000, 15.058458
679.000000, 15.063203
678.000000, 15.058257
677.000000, 15.060972
676.000000, 15.044958
675.000000, 15.029537
674.000000, 15.025107
673.000000, 15.022478
672.000000, 15.028186
671.000000, 15.046260
670.000000, 15.051661
669.000000, 15.036646
668.000000, 15.039169
667.000000, 15.037430
666.000000, 15.031628
665.000000, 15.031257
664.000000, 15.013665
663.000000, 15.012933
662.000000, 15.035173
661.000000, 15.047793
660.000000, 15.037383
659.000000, 15.029274
658.000000, 15.016624
657.000000, 15.015622
656.000000, 15.044995
655.000000, 15.051079
654.000000, 15.050890
653.000000, 15.054090
652.000000, 15.046692
651.000000, 15.035947
650.000000, 15.021583
649.000000, 15.021371
648.000000, 15.034297
647.000000, 15.032272
646.000000, 15.018944
645.000000, 15.023131
644.000000, 15.038271
643.000000, 15.046062
642.000000, 15.024371
641.000000, 15.047631
640.000000, 15.073278
639.000000, 15.059888
638.000000, 15.048795
637.000000, 15.034394
636.000000, 15.020101
635.000000, 15.014581
634.000000, 15.005426
633.000000, 15.001157
632.000000, 15.013562
631.000000, 15.011607
630.000000, 15.005044
629.000000, 15.011320
628.000000, 15.018536
627.000000, 15.029594
626.000000, 15.046441
625.000000, 15.040183
624.000000, 15.027521
