nm, %T
800.000000, 42.682600
799.000000, 42.783300
798.000000, 42.715200
797.000000, 42.625200
796.000000, 42.579700
795.000000, 42.539300
794.000000, 42.544100
793.000000, 42.465300
792.000000, 42.464000
791.000000, 42.426800
790.000000, 42.331900
789.000000, 42.328000
788.000000, 42.306000
787.000000, 42.274300
786.000000, 42.203500
785.000000, 42.191100
784.000000, 42.149700
783.000000, 42.157300
782.000000, 42.116900
781.000000, 42.028600
780.000000, 42.065700
779.000000, 42.002300
778.000000, 41.999600
777.000000, 41.952000
776.000000, 41.890500
775.000000, 41.901200
774.000000, 41.898100
773.000000, 41.865200
772.000000, 41.771200
771.000000, 41.721200
770.000000, 41.707900
769.000000, 41.709200
768.000000, 41.731000
767.000000, 41.708100
766.000000, 41.651600
765.000000, 41.601400
764.000000, 41.576700
763.000000, 41.562900
762.000000, 41.489300
761.000000, 41.442100
760.000000, 41.441600
759.000000, 41.341300
758.000000, 41.386200
757.000000, 41.347300
756.000000, 41.338300
755.000000, 41.361500
754.000000, 41.343900
753.000000, 41.259500
752.000000, 41.254500
751.000000, 41.250100
750.000000, 41.198700
749.000000, 41.209200
748.000000, 41.175100
747.000000, 41.163200
746.000000, 41.165700
745.000000, 41.088500
744.000000, 41.048600
743.000000, 41.058100
742.000000, 41.039000
741.000000, 41.006200
740.000000, 40.944900
739.000000, 40.944600
738.000000, 40.939900
737.000000, 40.933100
736.000000, 40.949200
735.000000, 40.895100
734.000000, 40.883700
733.000000, 40.833700
732.000000, 40.840400
731.000000, 40.811100
730.000000, 40.803700
729.000000, 40.772200
728.000000, 40.760000
727.000000, 40.748300
726.000000, 40.774300
725.000000, 40.727300
724.000000, 40.691200
723.000000, 40.681100
722.000000, 40.645800
721.000000, 40.664600
720.000000, 40.629700
719.000000, 40.609300
718.000000, 40.589100
717.000000, 40.552400
716.000000, 40.550700
715.000000, 40.537900
714.000000, 40.533300
713.000000, 40.530900
712.000000, 40.545800
711.000000, 40.509200
710.000000, 40.480900
709.000000, 40.478300
708.000000, 40.461300
707.000000, 40.426800
706.000000, 40.422300
705.000000, 40.417000
704.000000, 40.421600
703.000000, 40.405300
702.000000, 40.374700
701.000000, 40.355800
700.000000, 40.353600
699.000000, 40.340100
698.000000, 40.322400
697.000000, 40.306900
696.000000, 40.301700
695.000000, 40.301900
694.000000, 40.289300
693.000000, 40.289400
692.000000, 40.267000
691.000000, 40.181000
690.000000, 40.059200
689.000000, 40.032800
688.000000, 40.007600
687.000000, 40.017200
686.000000, 40.013800
685.000000, 40.009300
684.000000, 40.019800
683.000000, 39.995400
682.000000, 39.978300
681.000000, 39.960100
680.000000, 39.959100
679.000000, 39.961200
678.000000, 39.959700
677.000000, 39.938000
676.000000, 39.923000
675.000000, 39.911700
