Sample ID, Description, T_420nm, T_360nm, T_620nm, T_400nm
Sample2665, , 76.8, 71.15, 79.58, 76.25
Sample2664, , 66.53, 59.34, 71.3, 65.4
Sample2663, , 75.11, 68.56, 78.45, 74.22
Sample2662, , 76.48, 70.56, 79.18, 75.8
Sample2661, , 76.71, 70.92, 79.38, 76.09
Sample2660, , 76.93, 71.21, 79.41, 76.46
Sample2659, , 21.24, 17.21, 25.14, 20.4
Sample2658, , 38.88, 33.56, 43.69, 37.86
Sample2657, , 56.53, 50.73, 60.58, 55.56
Sample2656, , 69.25, 63.11, 72.46, 68.55
Sample2655, , 76.71, 70.83, 79, 76.18
Sample2654, , 77.24, 71.48, 79.38, 76.66
