nm, %T
800.000000, 79.883606
799.000000, 79.617982
798.000000, 79.768560
797.000000, 79.932997
796.000000, 79.795771
795.000000, 79.941842
794.000000, 79.861367
793.000000, 79.928318
792.000000, 79.702572
791.000000, 79.784712
790.000000, 79.884201
789.000000, 79.685551
788.000000, 79.916560
787.000000, 79.945499
786.000000, 80.035542
785.000000, 79.882961
784.000000, 79.753355
783.000000, 79.654769
782.000000, 79.777951
781.000000, 79.892740
780.000000, 79.722434
779.000000, 79.795154
778.000000, 79.797427
777.000000, 79.840532
776.000000, 79.926475
775.000000, 79.854992
774.000000, 79.767579
773.000000, 79.766011
772.000000, 79.925643
771.000000, 79.926272
770.000000, 79.897573
769.000000, 79.788872
768.000000, 79.591191
767.000000, 79.693393
766.000000, 79.659845
765.000000, 79.795151
764.000000, 79.680687
763.000000, 79.770901
762.000000, 79.784185
761.000000, 79.802664
760.000000, 79.593693
759.000000, 79.734067
758.000000, 79.765477
757.000000, 79.835685
756.000000, 79.774446
755.000000, 79.710117
754.000000, 79.655040
753.000000, 79.688072
752.000000, 79.710092
751.000000, 79.742110
750.000000, 79.769022
749.000000, 79.759859
748.000000, 79.611707
747.000000, 79.591237
746.000000, 79.668753
745.000000, 79.711598
744.000000, 79.808081
743.000000, 79.800088
742.000000, 79.735861
741.000000, 79.731114
740.000000, 79.779167
739.000000, 79.788788
738.000000, 79.748851
737.000000, 79.660715
736.000000, 79.634523
735.000000, 79.698790
734.000000, 79.632714
733.000000, 79.694468
732.000000, 79.657153
731.000000, 79.633972
730.000000, 79.609202
729.000000, 79.649859
728.000000, 79.680815
727.000000, 79.654611
726.000000, 79.612158
725.000000, 79.647067
724.000000, 79.644247
723.000000, 79.701630
722.000000, 79.757810
721.000000, 79.639785
720.000000, 79.609005
719.000000, 79.645549
718.000000, 79.566682
717.000000, 79.669761
716.000000, 79.665456
715.000000, 79.634120
714.000000, 79.674490
713.000000, 79.623695
712.000000, 79.481722
711.000000, 79.590068
710.000000, 79.646204
709.000000, 79.663178
708.000000, 79.704063
707.000000, 79.801023
706.000000, 79.742865
705.000000, 79.697899
704.000000, 79.734103
703.000000, 79.736322
702.000000, 79.733100
701.000000, 79.747645
700.000000, 79.721512
699.000000, 79.700844
698.000000, 79.656469
697.000000, 79.676433
696.000000, 79.727158
695.000000, 79.663986
694.000000, 79.697339
693.000000, 79.668349
