nm, %T
800.000000, 38.193322
799.000000, 38.075313
798.000000, 38.168984
797.000000, 38.103738
796.000000, 38.180055
795.000000, 38.305401
794.000000, 38.258742
793.000000, 38.240859
792.000000, 38.146070
791.000000, 38.197394
790.000000, 38.167604
789.000000, 38.170752
788.000000, 38.037500
787.000000, 38.168177
786.000000, 38.191894
785.000000, 38.190691
784.000000, 38.184215
783.000000, 38.155887
782.000000, 38.211685
781.000000, 38.185745
780.000000, 38.212413
779.000000, 38.242407
778.000000, 38.179613
777.000000, 38.140730
776.000000, 38.164286
775.000000, 38.187050
774.000000, 38.237553
773.000000, 38.263157
772.000000, 38.179747
771.000000, 38.094856
770.000000, 38.153385
769.000000, 38.152615
768.000000, 38.099820
767.000000, 38.177590
766.000000, 38.140557
765.000000, 38.211301
764.000000, 38.145668
763.000000, 38.257791
762.000000, 38.176172
761.000000, 38.251391
760.000000, 38.185181
759.000000, 38.046247
758.000000, 38.096020
757.000000, 38.186919
756.000000, 38.111737
755.000000, 38.096158
754.000000, 38.162168
753.000000, 38.173230
752.000000, 38.143623
751.000000, 38.208573
750.000000, 38.222595
749.000000, 38.247828
748.000000, 38.197673
747.000000, 38.190931
746.000000, 38.101549
745.000000, 38.123796
744.000000, 38.138308
743.000000, 38.112060
742.000000, 38.149929
741.000000, 38.144164
740.000000, 38.159755
739.000000, 38.098412
738.000000, 38.101624
737.000000, 38.121482
736.000000, 38.167079
735.000000, 38.105493
734.000000, 38.123496
733.000000, 38.155533
732.000000, 38.154688
731.000000, 38.105272
730.000000, 38.127250
729.000000, 38.115901
728.000000, 38.102554
727.000000, 38.126971
726.000000, 38.116722
725.000000, 38.154229
724.000000, 38.096623
723.000000, 38.105618
722.000000, 38.075709
721.000000, 38.079269
720.000000, 38.109565
719.000000, 38.062457
718.000000, 38.065299
717.000000, 38.104208
716.000000, 38.020120
715.000000, 38.028549
714.000000, 38.116373
713.000000, 38.168725
712.000000, 38.138107
711.000000, 38.104947
710.000000, 38.076801
709.000000, 38.073772
708.000000, 38.062936
707.000000, 38.073136
706.000000, 38.042694
705.000000, 38.089302
704.000000, 38.086013
703.000000, 38.059408
702.000000, 38.036882
701.000000, 38.069296
700.000000, 38.079127
699.000000, 38.089505
698.000000, 38.059146
697.000000, 38.055670
696.000000, 38.072117
695.000000, 38.057822
694.000000, 38.091089
693.000000, 38.062414
692.000000, 38.042922
691.000000, 38.084411
690.000000, 38.162369
689.000000, 38.149850
688.000000, 38.073132
687.000000, 38.052069
686.000000, 38.088142
685.000000, 38.096236
684.000000, 38.039436
