Sample ID, Description, T_420nm, T_360nm, T_620nm, T_400nm
Sample2653, , 76.95, 73.82, 79.25, 76.35
Sample2652, , 77.05, 73.96, 79.21, 76.39
Sample2651, , 76.86, 73.93, 79.18, 76.31
Sample2650, , 76.89, 73.81, 79.02, 76.29
Sample2649, , 76.79, 73.77, 79.04, 76.23
Sample2648, , 76.53, 73.5, 78.96, 76.01
Sample2647, , 76.41, 73.29, 78.98, 75.88
Sample2646, , 76.4, 73.57, 78.76, 75.86
Sample2645, , 76.6, 73.52, 78.99, 76.07
Sample2644, , 76.61, 73.45, 78.87, 76.03
Sample2643, , 76.29, 73.42, 78.52, 75.8
