nm, %T
800.000000, 79.697751
799.000000, 79.863774
798.000000, 79.554179
797.000000, 79.654335
796.000000, 79.776999
795.000000, 79.498424
794.000000, 79.575669
793.000000, 79.554942
792.000000, 79.535471
791.000000, 79.463851
790.000000, 79.448282
789.000000, 79.303899
788.000000, 79.445798
787.000000, 79.510369
786.000000, 79.434624
785.000000, 79.563406
784.000000, 79.579470
783.000000, 79.469940
782.000000, 79.521782
781.000000, 79.544937
780.000000, 79.561614
779.000000, 79.514585
778.000000, 79.598300
777.000000, 79.568257
776.000000, 79.668702
775.000000, 79.780239
774.000000, 79.583142
773.000000, 79.597195
772.000000, 79.599184
771.000000, 79.764529
770.000000, 79.799306
769.000000, 79.651933
768.000000, 79.619503
767.000000, 79.617616
766.000000, 79.787657
765.000000, 79.642873
764.000000, 79.626140
763.000000, 79.619122
762.000000, 79.738759
761.000000, 79.613933
760.000000, 79.489735
759.000000, 79.461907
758.000000, 79.560858
757.000000, 79.413736
756.000000, 79.417867
755.000000, 79.539730
754.000000, 79.375288
753.000000, 79.406952
752.000000, 79.403694
751.000000, 79.413743
750.000000, 79.342990
749.000000, 79.404748
748.000000, 79.438498
747.000000, 79.447322
746.000000, 79.504182
745.000000, 79.399074
744.000000, 79.271149
743.000000, 79.253853
742.000000, 79.392707
741.000000, 79.382590
740.000000, 79.463529
739.000000, 79.346228
738.000000, 79.372762
737.000000, 79.462692
736.000000, 79.443184
735.000000, 79.256505
734.000000, 79.289079
733.000000, 79.392478
732.000000, 79.323377
731.000000, 79.328453
730.000000, 79.283906
729.000000, 79.369533
728.000000, 79.287071
727.000000, 79.260135
726.000000, 79.292291
725.000000, 79.257935
724.000000, 79.263000
723.000000, 79.304998
722.000000, 79.345806
721.000000, 79.311259
720.000000, 79.351300
719.000000, 79.377493
718.000000, 79.291725
717.000000, 79.220444
716.000000, 79.205201
715.000000, 79.217321
714.000000, 79.200928
713.000000, 79.238361
712.000000, 79.311220
711.000000, 79.159718
710.000000, 79.149059
709.000000, 79.153912
708.000000, 79.121359
707.000000, 79.242606
706.000000, 79.255544
705.000000, 79.230382
704.000000, 79.221673
703.000000, 79.215990
702.000000, 79.261379
701.000000, 79.216308
700.000000, 79.174102
699.000000, 79.213860
698.000000, 79.240257
697.000000, 79.196689
696.000000, 79.151578
695.000000, 79.123774
694.000000, 79.225112
693.000000, 79.243470
692.000000, 79.226426
691.000000, 79.166139
690.000000, 79.158648
689.000000, 79.173971
688.000000, 79.212363
687.000000, 79.144277
686.000000, 79.123831
685.000000, 79.061056
684.000000, 79.108956
683.000000, 79.172332
682.000000, 79.119235
681.000000, 79.024460
680.000000, 79.079933
679.000000, 79.082011
678.000000, 79.038214
677.000000, 79.058852
676.000000, 79.021196
675.000000, 79.035889
674.000000, 79.025396
673.000000, 79.046367
672.000000, 79.074013
671.000000, 79.057042
670.000000, 79.003504
669.000000, 79.012031
668.000000, 79.091735
667.000000, 79.104085
666.000000, 79.068521
665.000000, 79.072470
664.000000, 79.046774
663.000000, 78.943016
662.000000, 78.985651
661.000000, 78.991525
660.000000, 78.958268
659.000000, 78.993770
658.000000, 78.993197
657.000000, 78.980833
656.000000, 78.992084
655.000000, 79.033643
654.000000, 78.998333
653.000000, 78.971810
652.000000, 78.975915
651.000000, 78.972155
650.000000, 78.945848
649.000000, 78.940387
648.000000, 78.938678
647.000000, 78.887032
646.000000, 78.874936
645.000000, 78.879490
644.000000, 78.911607
643.000000, 78.906635
642.000000, 78.933987
641.000000, 78.916482
640.000000, 78.860193
639.000000, 78.891527
638.000000, 78.903262
637.000000, 78.877252
636.000000, 78.885560
635.000000, 78.842894
634.000000, 78.825471
633.000000, 78.850820
632.000000, 78.883465
631.000000, 78.885416
630.000000, 78.860652
629.000000, 78.832494
628.000000, 78.849968
627.000000, 78.807997
626.000000, 78.787215
625.000000, 78.801414
624.000000, 78.764159
623.000000, 78.723474
622.000000, 78.723206
621.000000, 78.735580
620.000000, 78.755723
619.000000, 78.774946
618.000000, 78.732028
617.000000, 78.678514
616.000000, 78.655832
615.000000, 78.726598
614.000000, 78.798766
613.000000, 78.854895
612.000000, 78.836628
611.000000, 78.775469
610.000000, 78.746084
609.000000, 78.760682
608.000000, 78.779903
607.000000, 78.757442
606.000000, 78.701676
605.000000, 78.730828
604.000000, 78.713094
603.000000, 78.704622
602.000000, 78.716742
601.000000, 78.675758
600.000000, 78.647420
599.000000, 78.571122
598.000000, 78.625080
597.000000, 78.678017
596.000000, 78.658400
595.000000, 78.558695
594.000000, 78.529713
593.000000, 78.587034
592.000000, 78.584636
591.000000, 78.612707
590.000000, 78.633138
589.000000, 78.589059
588.000000, 78.583368
587.000000, 78.578864
586.000000, 78.607880
585.000000, 78.535388
584.000000, 78.478821
583.000000, 78.506782
582.000000, 78.548964
581.000000, 78.509640
580.000000, 78.508782
579.000000, 78.462805
578.000000, 78.462251
577.000000, 78.503026
576.000000, 78.442353
575.000000, 78.392818
574.000000, 78.473824
573.000000, 78.462677
572.000000, 78.438816
571.000000, 78.417697
570.000000, 78.425130
569.000000, 78.438787
568.000000, 78.431486
567.000000, 78.391282
566.000000, 78.399024
565.000000, 78.375492
564.000000, 78.419646
563.000000, 78.466266
562.000000, 78.396844
561.000000, 78.427697
560.000000, 78.327732
559.000000, 78.246180
558.000000, 78.327666
557.000000, 78.274343
556.000000, 78.287249
555.000000, 78.285379
554.000000, 78.301235
553.000000, 78.300023
552.000000, 78.265949
551.000000, 78.229843
550.000000, 78.246954
549.000000, 78.241525
548.000000, 78.245759
547.000000, 78.221995
546.000000, 78.238860
545.000000, 78.251473
544.000000, 78.191428
543.000000, 78.199829
542.000000, 78.156480
541.000000, 78.181293
540.000000, 78.212705
539.000000, 78.284504
538.000000, 78.147693
537.000000, 78.118334
536.000000, 78.169516
535.000000, 78.118132
534.000000, 78.142189
533.000000, 78.190584
532.000000, 78.143670
531.000000, 78.153743
530.000000, 78.164816
529.000000, 78.114167
528.000000, 78.126762
527.000000, 78.068757
526.000000, 78.057076
525.000000, 77.972017
524.000000, 78.119541
523.000000, 78.056643
522.000000, 78.045509
521.000000, 77.984477
520.000000, 77.943898
519.000000, 78.065074
518.000000, 78.039948
517.000000, 78.038448
516.000000, 78.012196
515.000000, 78.013570
514.000000, 78.071159
513.000000, 77.940570
512.000000, 77.949305
511.000000, 77.900906
510.000000, 77.931732
509.000000, 77.874070
508.000000, 77.902899
507.000000, 77.920273
506.000000, 77.884518
505.000000, 77.857313
504.000000, 77.873523
503.000000, 77.825226
502.000000, 77.829253
501.000000, 77.779786
500.000000, 77.737388
499.000000, 77.738483
498.000000, 77.700722
497.000000, 77.777062
496.000000, 77.788545
495.000000, 77.766955
494.000000, 77.741984
493.000000, 77.737840
492.000000, 77.686405
491.000000, 77.691146
490.000000, 77.664401
489.000000, 77.631895
488.000000, 77.615137
487.000000, 77.692901
486.000000, 77.601137
485.000000, 77.630524
484.000000, 77.587708
483.000000, 77.634613
482.000000, 77.604759
481.000000, 77.594796
480.000000, 77.560814
479.000000, 77.499636
478.000000, 77.503935
477.000000, 77.464174
476.000000, 77.549601
475.000000, 77.489973
474.000000, 77.515655
473.000000, 77.519961
472.000000, 77.441855
471.000000, 77.343123
470.000000, 77.401042
469.000000, 77.370803
468.000000, 77.414048
467.000000, 77.401608
466.000000, 77.385761
465.000000, 77.376674
464.000000, 77.415376
463.000000, 77.408749
462.000000, 77.275139
461.000000, 77.316355
460.000000, 77.199234
459.000000, 77.198240
458.000000, 77.204462
457.000000, 77.192370
456.000000, 77.122783
455.000000, 77.077965
454.000000, 77.120188
453.000000, 77.124728
452.000000, 77.139340
451.000000, 77.141938
450.000000, 77.061565
449.000000, 77.072959
448.000000, 77.021928
447.000000, 76.997547
446.000000, 77.023265
445.000000, 77.016816
444.000000, 76.983889
443.000000, 76.939004
442.000000, 76.834162
441.000000, 76.826895
440.000000, 76.896031
439.000000, 76.833334
438.000000, 76.875226
437.000000, 76.890740
436.000000, 76.804363
435.000000, 76.700054
434.000000, 76.716531
433.000000, 76.708588
432.000000, 76.651244
431.000000, 76.637587
430.000000, 76.683117
429.000000, 76.638063
428.000000, 76.665661
427.000000, 76.597607
426.000000, 76.551687
425.000000, 76.573788
424.000000, 76.601067
423.000000, 76.591000
422.000000, 76.522728
421.000000, 76.458496
420.000000, 76.403128
419.000000, 76.378768
418.000000, 76.343197
417.000000, 76.257590
416.000000, 76.255623
415.000000, 76.252626
414.000000, 76.273063
413.000000, 76.314895
412.000000, 76.280330
411.000000, 76.232972
410.000000, 76.172154
409.000000, 76.170131
408.000000, 76.103989
407.000000, 76.108145
406.000000, 76.032192
405.000000, 76.053919
404.000000, 76.012201
403.000000, 75.926724
402.000000, 75.915341
401.000000, 75.903289
400.000000, 75.864715
399.000000, 75.845853
398.000000, 75.773873
397.000000, 75.685305
396.000000, 75.727588
395.000000, 75.713952
394.000000, 75.689973
393.000000, 75.605151
392.000000, 75.512803
391.000000, 75.500126
390.000000, 75.436096
389.000000, 75.395874
388.000000, 75.325821
387.000000, 75.293791
386.000000, 75.327946
385.000000, 75.228337
384.000000, 75.190468
383.000000, 75.222873
382.000000, 75.149333
381.000000, 75.047596
380.000000, 75.039359
379.000000, 74.890327
378.000000, 74.721465
377.000000, 74.598657
376.000000, 74.600076
375.000000, 74.610363
374.000000, 74.496703
373.000000, 74.375097
372.000000, 74.310267
371.000000, 74.371440
370.000000, 74.278791
369.000000, 74.304711
368.000000, 74.368229
367.000000, 74.044482
366.000000, 73.719250
365.000000, 73.702901
364.000000, 73.573943
363.000000, 73.571838
362.000000, 73.648100
361.000000, 73.581173
360.000000, 73.572993
359.000000, 73.434939
358.000000, 73.253328
357.000000, 73.053524
356.000000, 72.701040
355.000000, 72.604604
354.000000, 72.665663
353.000000, 72.633702
352.000000, 72.521743
351.000000, 72.231778
350.000000, 71.932379
349.000000, 71.733163
348.000000, 71.574124
347.000000, 71.336643
346.000000, 71.235080
345.000000, 70.928516
344.000000, 70.585741
343.000000, 70.291662
342.000000, 70.043543
341.000000, 69.996014
340.000000, 69.698574
339.000000, 69.336434
338.000000, 69.108833
337.000000, 68.762965
336.000000, 68.414964
335.000000, 67.960204
334.000000, 67.474079
333.000000, 67.096782
332.000000, 66.544314
331.000000, 66.319384
330.000000, 65.969285
329.000000, 65.495954
328.000000, 64.812810
327.000000, 64.229355
326.000000, 63.460849
325.000000, 62.782678
324.000000, 62.108884
323.000000, 61.079386
322.000000, 60.118909
321.000000, 59.387106
320.000000, 57.545300
319.000000, 55.807557
318.000000, 54.050109
317.000000, 51.554338
316.000000, 48.281757
315.000000, 44.463850
314.000000, 39.851118
313.000000, 34.220184
312.000000, 28.047140
311.000000, 21.559516
310.000000, 15.342004
309.000000, 9.955737
308.000000, 5.848672
307.000000, 3.095947
306.000000, 1.558108
305.000000, 0.826739
304.000000, 0.550802
303.000000, 0.470808
302.000000, 0.448419
301.000000, 0.448815
300.000000, 0.445408
299.000000, 0.444510
298.000000, 0.440473
297.000000, 0.435446
296.000000, 0.439625
295.000000, 0.443027
294.000000, 0.447772
293.000000, 0.441069
292.000000, 0.443113
291.000000, 0.438059
290.000000, 0.435507
289.000000, 0.433602
288.000000, 0.433236
287.000000, 0.433588
286.000000, 0.427656
285.000000, 0.432977
284.000000, 0.431061
283.000000, 0.427063
282.000000, 0.428209
281.000000, 0.418984
280.000000, 0.420931
279.000000, 0.418785
278.000000, 0.412685
277.000000, 0.408882
276.000000, 0.410550
275.000000, 0.409411
274.000000, 0.406650
273.000000, 0.399733
272.000000, 0.394206
271.000000, 0.404462
