nm, %T
800.000000, 79.212985
799.000000, 78.091996
798.000000, 79.516057
797.000000, 80.065635
796.000000, 80.753453
795.000000, 78.996503
794.000000, 80.261566
793.000000, 79.320527
792.000000, 80.143671
791.000000, 79.858225
790.000000, 80.530795
789.000000, 78.280897
788.000000, 78.949834
787.000000, 79.325789
786.000000, 78.758531
785.000000, 79.387572
784.000000, 78.703185
783.000000, 79.238143
782.000000, 79.016803
781.000000, 78.788918
780.000000, 79.451672
779.000000, 79.028333
778.000000, 80.199941
777.000000, 79.759930
776.000000, 79.167558
775.000000, 78.628179
774.000000, 79.500771
773.000000, 79.203949
772.000000, 78.823455
771.000000, 80.115120
770.000000, 79.827042
769.000000, 79.512234
768.000000, 78.958891
767.000000, 79.348880
766.000000, 79.617679
765.000000, 79.563150
764.000000, 79.276997
763.000000, 79.366257
762.000000, 79.740386
761.000000, 79.125645
760.000000, 78.658413
759.000000, 79.154076
758.000000, 79.193017
757.000000, 78.704577
756.000000, 78.865107
755.000000, 78.904404
754.000000, 79.723571
753.000000, 79.586308
752.000000, 79.449276
751.000000, 78.971560
750.000000, 79.187198
749.000000, 79.697721
748.000000, 79.758554
747.000000, 79.447596
746.000000, 79.501614
745.000000, 79.503171
744.000000, 79.255665
743.000000, 79.183768
742.000000, 79.396739
741.000000, 79.632446
740.000000, 79.310199
739.000000, 79.680450
738.000000, 79.153794
737.000000, 79.278650
736.000000, 79.507944
735.000000, 79.897381
734.000000, 79.405086
733.000000, 78.898972
732.000000, 78.985048
731.000000, 78.959914
730.000000, 79.198921
729.000000, 79.274330
728.000000, 79.395425
727.000000, 79.070559
726.000000, 79.317662
725.000000, 79.200977
724.000000, 79.211699
723.000000, 79.193909
722.000000, 79.229244
721.000000, 79.344648
720.000000, 79.121911
719.000000, 79.282376
718.000000, 79.409637
717.000000, 78.824660
716.000000, 78.863679
715.000000, 79.048649
714.000000, 79.300048
713.000000, 79.214325
712.000000, 79.091721
711.000000, 79.055273
710.000000, 79.294723
709.000000, 79.340768
708.000000, 79.243419
707.000000, 79.234070
706.000000, 79.239795
705.000000, 79.115154
704.000000, 79.178551
703.000000, 79.378869
702.000000, 79.229083
701.000000, 79.423122
700.000000, 79.028618
699.000000, 79.006172
698.000000, 79.051068
697.000000, 79.083026
696.000000, 79.249522
695.000000, 78.872349
694.000000, 78.809589
693.000000, 79.059842
692.000000, 79.116050
691.000000, 79.033139
690.000000, 79.154975
689.000000, 79.141052
688.000000, 79.273148
687.000000, 79.251754
686.000000, 79.088063
685.000000, 78.997257
684.000000, 78.994771
683.000000, 79.199638
682.000000, 79.079550
681.000000, 78.976514
680.000000, 78.985366
679.000000, 79.261815
678.000000, 79.367367
677.000000, 79.145699
676.000000, 79.025735
675.000000, 78.872206
674.000000, 78.732136
673.000000, 78.725719
672.000000, 78.952902
671.000000, 79.304425
670.000000, 79.162324
669.000000, 79.094083
668.000000, 78.995970
667.000000, 79.019666
666.000000, 79.029275
665.000000, 78.985231
664.000000, 79.174419
663.000000, 79.162724
662.000000, 78.856018
661.000000, 78.944410
660.000000, 78.954461
659.000000, 78.858020
658.000000, 79.001176
657.000000, 78.982619
656.000000, 78.830363
655.000000, 78.912291
654.000000, 78.942980
653.000000, 78.889826
652.000000, 78.848879
651.000000, 78.881308
650.000000, 78.902649
649.000000, 78.897058
648.000000, 78.792086
647.000000, 78.725256
646.000000, 78.891112
645.000000, 78.837056
644.000000, 78.788843
643.000000, 78.821075
642.000000, 78.741457
641.000000, 78.795317
640.000000, 78.800398
639.000000, 78.631752
638.000000, 78.644251
637.000000, 78.637352
636.000000, 78.656107
635.000000, 78.777527
634.000000, 78.680037
633.000000, 78.621094
632.000000, 78.672834
631.000000, 78.673942
630.000000, 78.774683
629.000000, 78.803998
628.000000, 78.806714
627.000000, 78.786590
626.000000, 78.780580
625.000000, 78.513314
624.000000, 78.564214
623.000000, 78.763405
622.000000, 78.684085
621.000000, 78.635227
620.000000, 78.741861
619.000000, 78.713324
618.000000, 78.601361
617.000000, 78.619040
616.000000, 78.617856
615.000000, 78.522895
614.000000, 78.554930
613.000000, 78.652904
612.000000, 78.593499
611.000000, 78.586986
610.000000, 78.563399
609.000000, 78.586500
608.000000, 78.689822
607.000000, 78.622598
606.000000, 78.579947
605.000000, 78.520439
604.000000, 78.395383
603.000000, 78.491034
602.000000, 78.585095
601.000000, 78.649331
600.000000, 78.529368
599.000000, 78.497894
598.000000, 78.484016
597.000000, 78.492086
596.000000, 78.488053
595.000000, 78.536084
594.000000, 78.379147
593.000000, 78.334978
592.000000, 78.546760
591.000000, 78.417391
590.000000, 78.576037
589.000000, 78.439499
588.000000, 78.522435
587.000000, 78.402481
586.000000, 78.297008
585.000000, 78.253414
584.000000, 78.144418
583.000000, 78.427604
582.000000, 78.531629
581.000000, 78.423305
580.000000, 78.469631
579.000000, 78.475567
578.000000, 78.538469
577.000000, 78.487857
576.000000, 78.436324
575.000000, 78.295617
574.000000, 78.233119
573.000000, 78.314782
572.000000, 78.270989
571.000000, 78.298301
570.000000, 78.045740
569.000000, 78.108771
568.000000, 78.379973
