nm, %T
800.000000, 79.681875
799.000000, 79.684554
798.000000, 79.744009
797.000000, 79.739967
796.000000, 79.681701
795.000000, 79.861184
794.000000, 79.794778
793.000000, 79.659601
792.000000, 79.759811
791.000000, 79.733478
790.000000, 79.670005
789.000000, 79.460020
788.000000, 79.641404
787.000000, 79.693845
786.000000, 79.779659
785.000000, 79.712153
784.000000, 79.748004
783.000000, 79.709929
782.000000, 79.565123
781.000000, 79.709729
780.000000, 79.622607
779.000000, 79.718761
778.000000, 79.731693
777.000000, 79.752454
776.000000, 79.492342
775.000000, 79.781908
774.000000, 79.680783
773.000000, 79.558597
772.000000, 79.696105
771.000000, 79.702852
770.000000, 79.679998
769.000000, 79.634236
768.000000, 79.574730
767.000000, 79.527849
766.000000, 79.609667
765.000000, 79.606925
764.000000, 79.540562
763.000000, 79.600633
762.000000, 79.594453
761.000000, 79.601181
760.000000, 79.523442
759.000000, 79.624293
758.000000, 79.537230
757.000000, 79.510876
756.000000, 79.488553
755.000000, 79.579059
754.000000, 79.492289
753.000000, 79.614352
752.000000, 79.547306
751.000000, 79.593274
750.000000, 79.574645
749.000000, 79.511077
748.000000, 79.518747
747.000000, 79.554558
746.000000, 79.625184
745.000000, 79.515869
744.000000, 79.568728
743.000000, 79.559161
742.000000, 79.580479
741.000000, 79.520787
740.000000, 79.513919
739.000000, 79.524897
738.000000, 79.604053
737.000000, 79.549732
736.000000, 79.442940
735.000000, 79.454022
734.000000, 79.442036
733.000000, 79.530119
732.000000, 79.501847
731.000000, 79.528094
730.000000, 79.533127
729.000000, 79.630291
728.000000, 79.554891
727.000000, 79.526524
726.000000, 79.550032
725.000000, 79.546268
724.000000, 79.411577
723.000000, 79.463488
722.000000, 79.509796
721.000000, 79.519805
720.000000, 79.508136
719.000000, 79.496866
718.000000, 79.507425
717.000000, 79.447845
716.000000, 79.444767
715.000000, 79.504267
714.000000, 79.565530
713.000000, 79.575942
712.000000, 79.541289
711.000000, 79.500659
710.000000, 79.432427
709.000000, 79.410735
708.000000, 79.451842
707.000000, 79.458983
706.000000, 79.409755
705.000000, 79.429796
704.000000, 79.377161
703.000000, 79.414067
702.000000, 79.432640
701.000000, 79.393285
700.000000, 79.376276
699.000000, 79.379514
698.000000, 79.364663
697.000000, 79.386658
696.000000, 79.486976
695.000000, 79.371417
694.000000, 79.313972
693.000000, 79.337578
692.000000, 79.469469
691.000000, 79.398374
690.000000, 79.345859
689.000000, 79.357494
688.000000, 79.305542
687.000000, 79.261861
686.000000, 79.271836
685.000000, 79.297574
684.000000, 79.323960
683.000000, 79.318766
682.000000, 79.315238
681.000000, 79.341145
680.000000, 79.326692
679.000000, 79.344871
678.000000, 79.325851
677.000000, 79.287907
676.000000, 79.297042
675.000000, 79.335487
674.000000, 79.287722
673.000000, 79.269613
672.000000, 79.266344
671.000000, 79.244863
670.000000, 79.252391
669.000000, 79.278015
668.000000, 79.312054
667.000000, 79.293395
666.000000, 79.263080
665.000000, 79.272615
664.000000, 79.330481
663.000000, 79.317413
662.000000, 79.291936
661.000000, 79.259486
660.000000, 79.174376
659.000000, 79.149277
658.000000, 79.232088
657.000000, 79.271256
656.000000, 79.257880
655.000000, 79.239453
654.000000, 79.207411
653.000000, 79.215804
652.000000, 79.253631
651.000000, 79.280845
650.000000, 79.219383
649.000000, 79.184086
648.000000, 79.186719
647.000000, 79.203227
646.000000, 79.176683
645.000000, 79.116104
644.000000, 79.166090
643.000000, 79.158830
642.000000, 79.146737
641.000000, 79.175816
640.000000, 79.189497
639.000000, 79.100806
638.000000, 79.110630
637.000000, 79.110823
636.000000, 79.113886
635.000000, 79.167265
634.000000, 79.172388
633.000000, 79.129221
632.000000, 79.145444
631.000000, 79.098015
630.000000, 79.071988
629.000000, 79.088665
628.000000, 79.169491
627.000000, 79.163255
626.000000, 79.097830
625.000000, 79.036203
624.000000, 78.983594
623.000000, 78.954809
622.000000, 78.981065
621.000000, 79.002047
620.000000, 79.042375
619.000000, 79.084943
618.000000, 79.007971
617.000000, 79.025822
616.000000, 79.082176
615.000000, 79.073775
614.000000, 79.077049
613.000000, 79.053762
612.000000, 79.037496
611.000000, 78.963587
610.000000, 78.951404
609.000000, 78.963291
608.000000, 78.991622
607.000000, 79.004257
606.000000, 78.944872
605.000000, 78.978335
604.000000, 79.021110
603.000000, 78.989636
602.000000, 78.950383
601.000000, 78.888743
600.000000, 78.914022
599.000000, 78.920588
598.000000, 78.912615
597.000000, 78.881322
596.000000, 78.893746
595.000000, 78.853956
594.000000, 78.924607
593.000000, 78.948311
592.000000, 78.869928
591.000000, 78.872014
590.000000, 78.857888
589.000000, 78.810425
588.000000, 78.772958
587.000000, 78.752032
586.000000, 78.771513
585.000000, 78.740795
584.000000, 78.752485
583.000000, 78.847593
582.000000, 78.942594
581.000000, 78.878427
580.000000, 78.855471
579.000000, 78.761209
578.000000, 78.754902
577.000000, 78.706994
576.000000, 78.713664
575.000000, 78.675941
574.000000, 78.704796
573.000000, 78.731906
572.000000, 78.699693
571.000000, 78.752217
570.000000, 78.779443
569.000000, 78.822696
568.000000, 78.785352
567.000000, 78.767067
566.000000, 78.768928
565.000000, 78.795870
564.000000, 78.659314
563.000000, 78.684891
562.000000, 78.560626
561.000000, 78.583276
560.000000, 78.521593
559.000000, 78.561242
558.000000, 78.643608
557.000000, 78.608021
556.000000, 78.654990
555.000000, 78.576133
554.000000, 78.582734
553.000000, 78.545123
552.000000, 78.538154
551.000000, 78.569893
550.000000, 78.568267
549.000000, 78.543556
548.000000, 78.495687
547.000000, 78.571553
546.000000, 78.532758
545.000000, 78.584516
544.000000, 78.534831
543.000000, 78.599707
542.000000, 78.507124
541.000000, 78.525385
540.000000, 78.556836
539.000000, 78.559167
538.000000, 78.485311
537.000000, 78.472465
536.000000, 78.430886
535.000000, 78.419290
534.000000, 78.449560
533.000000, 78.471415
532.000000, 78.390616
531.000000, 78.443250
530.000000, 78.475361
529.000000, 78.449455
528.000000, 78.382276
527.000000, 78.382975
526.000000, 78.455755
525.000000, 78.370154
524.000000, 78.408128
523.000000, 78.387906
522.000000, 78.417506
521.000000, 78.332202
520.000000, 78.370289
519.000000, 78.418584
518.000000, 78.404530
517.000000, 78.347533
516.000000, 78.384653
515.000000, 78.304668
514.000000, 78.261524
513.000000, 78.220407
512.000000, 78.269764
511.000000, 78.233476
510.000000, 78.189721
509.000000, 78.176539
508.000000, 78.257074
507.000000, 78.206143
506.000000, 78.189317
505.000000, 78.130474
504.000000, 78.169671
503.000000, 78.088872
502.000000, 78.026598
501.000000, 78.013793
500.000000, 77.996647
499.000000, 78.050008
498.000000, 78.002998
497.000000, 77.974543
496.000000, 77.928821
495.000000, 77.970933
494.000000, 77.987992
493.000000, 78.059078
492.000000, 77.942430
491.000000, 77.975097
490.000000, 78.000317
489.000000, 77.910000
488.000000, 77.976803
487.000000, 78.044227
486.000000, 77.923895
485.000000, 77.909140
484.000000, 77.840173
483.000000, 77.857021
482.000000, 77.845197
481.000000, 77.863138
480.000000, 77.915621
479.000000, 77.905706
478.000000, 77.896729
477.000000, 77.873194
476.000000, 77.771831
475.000000, 77.761644
474.000000, 77.782296
473.000000, 77.787087
472.000000, 77.754407
471.000000, 77.729808
470.000000, 77.685747
469.000000, 77.650228
468.000000, 77.602662
467.000000, 77.597201
466.000000, 77.679057
465.000000, 77.706526
464.000000, 77.616095
463.000000, 77.625235
462.000000, 77.507737
461.000000, 77.433968
460.000000, 77.450456
459.000000, 77.467224
458.000000, 77.518982
457.000000, 77.505733
456.000000, 77.439935
455.000000, 77.436360
454.000000, 77.461600
453.000000, 77.478501
452.000000, 77.385071
451.000000, 77.387369
450.000000, 77.326227
449.000000, 77.348960
448.000000, 77.364123
447.000000, 77.390732
446.000000, 77.248611
445.000000, 77.260489
444.000000, 77.264369
443.000000, 77.209671
442.000000, 77.229107
441.000000, 77.184283
440.000000, 77.198132
439.000000, 77.143480
438.000000, 77.161162
437.000000, 77.177030
436.000000, 77.112628
435.000000, 77.064543
434.000000, 77.073355
433.000000, 76.989010
432.000000, 76.964408
431.000000, 76.926845
430.000000, 77.016024
429.000000, 76.983110
428.000000, 76.980010
427.000000, 76.915463
426.000000, 76.833403
425.000000, 76.841320
424.000000, 76.873051
423.000000, 76.804533
422.000000, 76.730803
421.000000, 76.764898
420.000000, 76.790248
419.000000, 76.770576
418.000000, 76.761381
417.000000, 76.733989
416.000000, 76.676217
415.000000, 76.641876
414.000000, 76.630782
413.000000, 76.624821
412.000000, 76.511255
411.000000, 76.495548
410.000000, 76.512913
409.000000, 76.470263
408.000000, 76.441591
407.000000, 76.416870
406.000000, 76.431347
405.000000, 76.462871
404.000000, 76.385741
403.000000, 76.405767
402.000000, 76.334760
401.000000, 76.247934
400.000000, 76.231901
399.000000, 76.298679
398.000000, 76.262019
397.000000, 76.195393
396.000000, 76.143251
395.000000, 76.093615
394.000000, 76.153489
393.000000, 76.071128
392.000000, 76.049701
391.000000, 75.989672
390.000000, 75.891018
389.000000, 75.826355
388.000000, 75.750682
387.000000, 75.812818
386.000000, 75.749557
385.000000, 75.659317
384.000000, 75.680005
383.000000, 75.596496
382.000000, 75.484386
381.000000, 75.424586
380.000000, 75.294990
379.000000, 75.143237
378.000000, 75.033142
377.000000, 75.040030
376.000000, 74.991326
375.000000, 74.957252
374.000000, 74.916032
373.000000, 74.796854
372.000000, 74.836786
371.000000, 74.685274
370.000000, 74.601447
369.000000, 74.706442
368.000000, 74.692669
367.000000, 74.553771
366.000000, 74.246395
365.000000, 74.208852
364.000000, 74.231204
363.000000, 74.164622
362.000000, 74.247407
361.000000, 73.999679
360.000000, 73.774243
359.000000, 73.713847
358.000000, 73.734460
357.000000, 73.678178
356.000000, 73.251172
355.000000, 73.267654
354.000000, 73.363626
353.000000, 73.059859
352.000000, 72.797063
351.000000, 72.629708
350.000000, 72.504877
349.000000, 72.249462
348.000000, 72.082058
347.000000, 71.891884
346.000000, 71.543769
345.000000, 71.318556
344.000000, 71.096307
343.000000, 70.939164
342.000000, 70.678278
341.000000, 70.539046
340.000000, 70.234204
339.000000, 69.875074
338.000000, 69.540360
337.000000, 68.927873
336.000000, 68.824593
335.000000, 68.458773
334.000000, 67.844474
333.000000, 67.829645
332.000000, 67.254606
331.000000, 66.780745
330.000000, 66.237044
329.000000, 65.736525
328.000000, 64.959304
327.000000, 64.270308
326.000000, 63.543489
325.000000, 63.048598
324.000000, 62.503291
323.000000, 61.521009
322.000000, 60.541635
321.000000, 59.366991
320.000000, 57.753459
319.000000, 56.031465
318.000000, 54.228464
317.000000, 51.656586
316.000000, 48.320066
315.000000, 44.447785
314.000000, 39.756495
313.000000, 34.179202
312.000000, 27.976471
311.000000, 21.449366
310.000000, 15.153585
309.000000, 9.761159
308.000000, 5.764052
307.000000, 3.052704
306.000000, 1.497721
305.000000, 0.767613
304.000000, 0.489625
303.000000, 0.417626
302.000000, 0.403866
301.000000, 0.397870
300.000000, 0.395117
299.000000, 0.393998
298.000000, 0.395106
297.000000, 0.392416
296.000000, 0.395951
295.000000, 0.394214
294.000000, 0.390899
293.000000, 0.387638
292.000000, 0.389865
291.000000, 0.385624
290.000000, 0.381636
289.000000, 0.382675
288.000000, 0.393026
287.000000, 0.386719
286.000000, 0.381629
285.000000, 0.387487
284.000000, 0.380202
283.000000, 0.383612
282.000000, 0.375458
281.000000, 0.378183
280.000000, 0.368936
279.000000, 0.368174
278.000000, 0.364940
277.000000, 0.361096
276.000000, 0.354008
275.000000, 0.359483
274.000000, 0.351708
273.000000, 0.355758
272.000000, 0.351077
271.000000, 0.352731
270.000000, 0.350122
269.000000, 0.347223
268.000000, 0.348508
267.000000, 0.347474
266.000000, 0.349434
265.000000, 0.360668
264.000000, 0.357138
263.000000, 0.344358
262.000000, 0.348744
261.000000, 0.358133
260.000000, 0.365933
259.000000, 0.374695
258.000000, 0.381093
257.000000, 0.376898
256.000000, 0.384222
255.000000, 0.380266
254.000000, 0.391009
253.000000, 0.400105
252.000000, 0.398265
251.000000, 0.399852
250.000000, 0.394295
249.000000, 0.394620
248.000000, 0.396882
247.000000, 0.387220
246.000000, 0.383614
245.000000, 0.391593
244.000000, 0.384679
243.000000, 0.385706
242.000000, 0.386164
241.000000, 0.382459
240.000000, 0.385823
239.000000, 0.379485
238.000000, 0.381908
237.000000, 0.386579
236.000000, 0.379700
235.000000, 0.378451
234.000000, 0.375992
233.000000, 0.371091
232.000000, 0.366729
231.000000, 0.375443
230.000000, 0.368155
229.000000, 0.375801
228.000000, 0.370380
227.000000, 0.364883
226.000000, 0.364444
225.000000, 0.353421
224.000000, 0.359754
223.000000, 0.357676
222.000000, 0.365886
221.000000, 0.348256
220.000000, 0.360809
219.000000, 0.352889
218.000000, 0.352490
217.000000, 0.346603
216.000000, 0.350166
215.000000, 0.360598
214.000000, 0.357330
213.000000, 0.357083
212.000000, 0.344534
211.000000, 0.356399
210.000000, 0.357110
209.000000, 0.346141
208.000000, 0.352960
207.000000, 0.368208
206.000000, 0.346089
205.000000, 0.332986
204.000000, 0.338695
203.000000, 0.344171
202.000000, 0.333300
201.000000, 0.329238
200.000000, 0.354756
