Sample:	'1(EM)
File name:	
Operator:	qvt
Comment:	'

Instrument
Model:	F-4500 FL Spectrophotometer
Serial Number:	
ROM Version:	4000 05

Instrument Parameters
Measurement type:	Wavelength scan
Scan mode:	Emission
Data mode:	Fluorescence
EX WL:	200.0 nm
EM  Start WL:	300.0 nm
EM  End WL:	800.0 nm
Scan speed:	60 nm/min
Delay:	5 s
EX Slit:	1.0 nm
EM Slit:	5.0 nm
PMT Voltage:	700 V
Response:	8.0 s
Corrected spectra:	Off
Shutter control:	On

Data Points
nm	Data
300.0	3.333
302.0	7.630
304.0	8.853
306.0	9.385
308.0	9.670
310.0	10.12
312.0	10.33
314.0	10.18
316.0	10.49
318.0	10.49
320.0	10.63
322.0	10.55
324.0	10.25
326.0	9.679
328.0	10.36
330.0	10.52
332.0	10.51
334.0	10.88
336.0	11.06
338.0	11.29
340.0	11.53
342.0	13.00
344.0	13.69
346.0	14.02
348.0	14.96
350.0	16.73
352.0	18.04
354.0	20.66
356.0	22.75
358.0	27.45
360.0	32.42
362.0	35.41
364.0	41.15
366.0	46.06
368.0	56.02
370.0	64.70
372.0	74.87
374.0	85.82
376.0	99.67
378.0	113.8
380.0	127.6
382.0	144.6
384.0	160.3
386.0	178.7
388.0	196.2
390.0	221.5
392.0	235.8
394.0	255.4
396.0	275.8
398.0	298.1
400.0	320.9
402.0	349.2
404.0	373.2
406.0	389.1
408.0	414.0
410.0	437.9
412.0	466.9
414.0	489.1
416.0	519.8
418.0	538.2
420.0	564.0
422.0	578.3
424.0	601.9
426.0	612.7
428.0	627.7
430.0	656.7
432.0	677.9
434.0	699.3
436.0	711.4
438.0	740.9
440.0	747.1
442.0	764.9
444.0	776.5
446.0	795.0
448.0	806.2
450.0	825.4
452.0	814.2
454.0	814.9
456.0	838.6
458.0	849.9
460.0	842.7
462.0	847.8
464.0	843.4
466.0	832.2
468.0	849.3
470.0	827.1
472.0	835.2
474.0	833.9
476.0	843.4
478.0	831.0
480.0	820.7
482.0	811.5
484.0	810.4
486.0	807.4
488.0	816.3
490.0	805.7
492.0	802.3
494.0	804.3
496.0	793.4
498.0	786.0
500.0	779.5
502.0	770.1
504.0	754.9
506.0	761.5
508.0	734.4
510.0	733.6
512.0	712.9
514.0	691.1
516.0	675.5
518.0	671.9
520.0	657.6
522.0	640.8
524.0	628.2
526.0	613.2
528.0	599.4
530.0	600.3
532.0	580.0
534.0	568.6
536.0	546.4
538.0	535.8
540.0	515.9
542.0	503.1
544.0	492.4
546.0	487.2
548.0	472.2
550.0	461.6
552.0	437.7
554.0	427.4
556.0	420.3
558.0	408.7
560.0	396.5
562.0	383.7
564.0	374.4
566.0	367.4
568.0	352.7
570.0	343.5
572.0	336.5
574.0	322.3
576.0	313.9
578.0	296.2
580.0	287.3
582.0	284.0
584.0	274.1
586.0	270.1
588.0	259.5
590.0	249.8
592.0	242.2
594.0	239.2
596.0	230.6
598.0	221.9
600.0	208.6
602.0	208.0
604.0	200.5
606.0	191.0
608.0	182.4
610.0	176.2
612.0	171.3
614.0	163.7
616.0	158.9
618.0	151.5
620.0	145.1
622.0	137.4
624.0	136.0
626.0	128.4
628.0	120.4
630.0	115.6
632.0	107.7
634.0	100.7
636.0	98.93
638.0	94.79
640.0	90.15
642.0	85.00
644.0	81.03
646.0	79.08
648.0	75.60
650.0	70.24
652.0	64.14
654.0	62.61
656.0	58.42
658.0	55.74
660.0	53.59
662.0	50.01
664.0	47.84
666.0	45.52
668.0	43.61
670.0	40.72
672.0	40.05
674.0	37.84
676.0	37.27
678.0	33.87
680.0	32.77
682.0	30.47
684.0	29.74
686.0	28.17
688.0	27.06
690.0	26.07
692.0	25.19
694.0	24.84
696.0	22.87
698.0	22.44
700.0	21.66
702.0	21.99
704.0	19.67
706.0	19.24
708.0	19.29
710.0	19.19
712.0	18.67
714.0	18.23
716.0	18.36
718.0	17.40
720.0	16.65
722.0	16.62
724.0	15.73
726.0	14.44
728.0	14.09
730.0	14.21
732.0	13.90
734.0	12.87
736.0	13.77
738.0	13.32
740.0	12.70
742.0	12.66
744.0	12.42
746.0	12.73
748.0	12.26
750.0	11.49
752.0	11.70
754.0	11.78
756.0	11.62
758.0	11.61
760.0	11.64
762.0	11.78
764.0	11.48
766.0	10.85
768.0	10.41
770.0	10.64
772.0	10.96
774.0	11.10
776.0	10.63
778.0	10.74
780.0	11.25
782.0	10.97
784.0	10.62
786.0	12.41
788.0	11.64
790.0	11.44
792.0	11.53
794.0	11.32
796.0	11.63
798.0	12.14
800.0	11.16

