Sample:	'1(EM)
File name:	
Operator:	qvt
Comment:	'

Instrument
Model:	F-4500 FL Spectrophotometer
Serial Number:	
ROM Version:	4000 05

Instrument Parameters
Measurement type:	Wavelength scan
Scan mode:	Emission
Data mode:	Fluorescence
EX WL:	200.0 nm
EM  Start WL:	300.0 nm
EM  End WL:	800.0 nm
Scan speed:	60 nm/min
Delay:	5 s
EX Slit:	1.0 nm
EM Slit:	5.0 nm
PMT Voltage:	700 V
Response:	8.0 s
Corrected spectra:	Off
Shutter control:	On

Data Points
nm	Data
300.0	6.000
302.0	7.717
304.0	8.640
306.0	9.179
308.0	9.338
310.0	9.608
312.0	9.094
314.0	9.488
316.0	9.529
318.0	9.145
320.0	9.464
322.0	9.164
324.0	9.140
326.0	9.383
328.0	9.449
330.0	8.893
332.0	9.513
334.0	9.863
336.0	9.425
338.0	9.493
340.0	9.072
342.0	9.335
344.0	9.591
346.0	9.337
348.0	9.448
350.0	9.614
352.0	9.258
354.0	9.616
356.0	9.195
358.0	9.806
360.0	9.599
362.0	8.783
364.0	9.349
366.0	9.108
368.0	8.949
370.0	9.086
372.0	9.317
374.0	9.589
376.0	9.649
378.0	8.996
380.0	8.850
382.0	9.180
384.0	8.589
386.0	9.125
388.0	9.217
390.0	9.777
392.0	9.247
394.0	8.624
396.0	8.897
398.0	9.242
400.0	8.548
402.0	8.718
404.0	8.636
406.0	8.707
408.0	8.775
410.0	8.458
412.0	8.697
414.0	8.645
416.0	8.930
418.0	9.189
420.0	9.026
422.0	8.505
424.0	8.396
426.0	8.514
428.0	8.644
430.0	8.698
432.0	9.298
434.0	9.503
436.0	9.379
438.0	8.448
440.0	8.289
442.0	8.420
444.0	8.624
446.0	8.559
448.0	8.903
450.0	8.753
452.0	8.675
454.0	8.679
456.0	8.935
458.0	8.507
460.0	8.602
462.0	8.401
464.0	8.605
466.0	8.440
468.0	8.185
470.0	8.662
472.0	8.604
474.0	8.379
476.0	8.778
478.0	8.786
480.0	8.536
482.0	8.472
484.0	8.836
486.0	8.571
488.0	8.405
490.0	8.368
492.0	7.717
494.0	8.678
496.0	8.239
498.0	8.768
500.0	9.020
502.0	8.584
504.0	8.244
506.0	7.975
508.0	8.309
510.0	8.396
512.0	7.959
514.0	7.906
516.0	8.219
518.0	8.525
520.0	8.290
522.0	8.678
524.0	8.357
526.0	8.154
528.0	8.323
530.0	7.995
532.0	8.289
534.0	7.888
536.0	7.826
538.0	8.181
540.0	8.160
542.0	8.527
544.0	8.535
546.0	8.566
548.0	8.508
550.0	7.837
552.0	8.223
554.0	8.124
556.0	8.070
558.0	8.203
560.0	8.041
562.0	8.204
564.0	8.055
566.0	8.510
568.0	8.406
570.0	7.903
572.0	8.098
574.0	7.819
576.0	8.149
578.0	7.990
580.0	8.465
582.0	7.807
584.0	7.810
586.0	8.650
588.0	8.145
590.0	8.130
592.0	7.916
594.0	7.858
596.0	7.747
598.0	7.874
600.0	7.912
602.0	7.762
604.0	7.512
606.0	8.223
608.0	7.947
610.0	7.855
612.0	7.335
614.0	7.693
616.0	7.455
618.0	7.570
620.0	7.775
622.0	7.338
624.0	7.144
626.0	7.330
628.0	7.359
630.0	8.217
632.0	8.917
634.0	8.478
636.0	8.165
638.0	7.735
640.0	7.764
642.0	7.538
644.0	8.257
646.0	8.169
648.0	8.074
650.0	7.814
652.0	7.837
654.0	7.484
656.0	7.316
658.0	7.137
660.0	7.535
662.0	7.708
664.0	7.173
666.0	7.494
668.0	7.350
670.0	7.404
672.0	7.708
674.0	7.526
676.0	7.609
678.0	7.526
680.0	7.158
682.0	7.308
684.0	7.906
686.0	7.776
688.0	7.610
690.0	7.471
692.0	7.522
694.0	7.086
696.0	7.181
698.0	7.515
700.0	7.524
702.0	7.499
704.0	6.879
706.0	7.606
708.0	7.276
710.0	7.541
712.0	7.434
714.0	6.851
716.0	7.012
718.0	7.699
720.0	7.073
722.0	7.193
724.0	7.435
726.0	7.338
728.0	7.129
730.0	7.372
732.0	7.323
734.0	7.137
736.0	7.051
738.0	7.327
740.0	7.143
742.0	6.999
744.0	6.822
746.0	6.722
748.0	6.725
750.0	6.755
752.0	6.818
754.0	6.792
756.0	6.632
758.0	6.794
760.0	6.831
762.0	6.726
764.0	6.927
766.0	6.893
768.0	7.079
770.0	7.685
772.0	6.946
774.0	6.990
776.0	6.524
778.0	6.642
780.0	6.892
782.0	6.512
784.0	6.645
786.0	6.926
788.0	7.293
790.0	7.371
792.0	7.525
794.0	7.094
796.0	6.871
798.0	6.810
800.0	6.452

