Sample:	'1(EM)
File name:	
Operator:	qvt
Comment:	'

Instrument
Model:	F-4500 FL Spectrophotometer
Serial Number:	
ROM Version:	4000 05

Instrument Parameters
Measurement type:	Wavelength scan
Scan mode:	Emission
Data mode:	Fluorescence
EX WL:	200.0 nm
EM  Start WL:	300.0 nm
EM  End WL:	800.0 nm
Scan speed:	60 nm/min
Delay:	5 s
EX Slit:	1.0 nm
EM Slit:	5.0 nm
PMT Voltage:	700 V
Response:	8.0 s
Corrected spectra:	Off
Shutter control:	On

Data Points
nm	Data
300.0	4.200
302.0	8.027
304.0	9.399
306.0	9.755
308.0	9.725
310.0	9.460
312.0	9.856
314.0	10.87
316.0	10.92
318.0	10.51
320.0	10.12
322.0	10.23
324.0	10.89
326.0	10.87
328.0	10.58
330.0	10.99
332.0	10.51
334.0	11.12
336.0	11.52
338.0	11.67
340.0	11.32
342.0	11.70
344.0	12.62
346.0	12.70
348.0	14.39
350.0	15.64
352.0	17.57
354.0	18.92
356.0	21.22
358.0	23.35
360.0	26.68
362.0	30.21
364.0	35.31
366.0	42.48
368.0	51.30
370.0	58.57
372.0	65.37
374.0	77.77
376.0	87.91
378.0	99.63
380.0	111.9
382.0	126.7
384.0	140.4
386.0	159.7
388.0	174.4
390.0	189.2
392.0	212.8
394.0	226.7
396.0	245.4
398.0	267.3
400.0	280.5
402.0	312.4
404.0	334.4
406.0	349.5
408.0	366.9
410.0	388.3
412.0	410.6
414.0	431.2
416.0	446.9
418.0	464.8
420.0	484.7
422.0	505.4
424.0	513.0
426.0	532.8
428.0	560.8
430.0	560.8
432.0	593.6
434.0	602.4
436.0	621.3
438.0	634.4
440.0	651.4
442.0	650.6
444.0	656.4
446.0	671.7
448.0	678.8
450.0	687.6
452.0	703.7
454.0	717.1
456.0	718.0
458.0	710.9
460.0	711.6
462.0	724.1
464.0	729.6
466.0	725.0
468.0	728.5
470.0	719.4
472.0	714.3
474.0	704.7
476.0	708.5
478.0	701.7
480.0	700.0
482.0	708.4
484.0	708.5
486.0	694.7
488.0	698.5
490.0	689.7
492.0	679.7
494.0	684.0
496.0	678.4
498.0	682.0
500.0	673.7
502.0	658.2
504.0	641.9
506.0	626.8
508.0	630.3
510.0	613.8
512.0	614.6
514.0	597.2
516.0	584.4
518.0	564.7
520.0	562.5
522.0	552.1
524.0	536.5
526.0	524.8
528.0	518.5
530.0	507.0
532.0	482.1
534.0	465.3
536.0	455.5
538.0	457.6
540.0	434.7
542.0	420.9
544.0	408.7
546.0	399.1
548.0	391.2
550.0	385.9
552.0	371.8
554.0	362.2
556.0	351.1
558.0	336.1
560.0	319.4
562.0	316.9
564.0	307.8
566.0	295.1
568.0	282.3
570.0	275.8
572.0	262.0
574.0	253.1
576.0	248.1
578.0	237.0
580.0	230.1
582.0	219.7
584.0	214.0
586.0	205.5
588.0	198.5
590.0	191.5
592.0	184.9
594.0	175.0
596.0	172.3
598.0	166.9
600.0	160.8
602.0	151.6
604.0	145.0
606.0	138.4
608.0	134.8
610.0	128.4
612.0	123.1
614.0	117.3
616.0	112.5
618.0	109.8
620.0	104.0
622.0	100.8
624.0	95.36
626.0	88.56
628.0	85.99
630.0	81.35
632.0	78.35
634.0	77.82
636.0	75.33
638.0	70.69
640.0	68.05
642.0	63.98
644.0	62.34
646.0	58.24
648.0	55.88
650.0	52.40
652.0	49.30
654.0	48.80
656.0	45.70
658.0	44.71
660.0	43.20
662.0	40.62
664.0	38.65
666.0	36.69
668.0	34.82
670.0	32.73
672.0	31.27
674.0	29.89
676.0	29.10
678.0	28.68
680.0	27.20
682.0	25.35
684.0	24.95
686.0	23.70
688.0	22.88
690.0	22.84
692.0	20.62
694.0	20.77
696.0	20.34
698.0	19.34
700.0	19.26
702.0	17.74
704.0	16.75
706.0	17.23
708.0	17.39
710.0	17.10
712.0	16.61
714.0	16.41
716.0	16.27
718.0	15.68
720.0	14.59
722.0	13.64
724.0	13.67
726.0	13.27
728.0	13.59
730.0	13.00
732.0	12.33
734.0	12.59
736.0	12.49
738.0	11.47
740.0	12.33
742.0	11.81
744.0	11.70
746.0	11.01
748.0	12.07
750.0	11.41
752.0	10.96
754.0	10.82
756.0	10.61
758.0	10.12
760.0	9.847
762.0	10.08
764.0	10.08
766.0	10.20
768.0	10.78
770.0	10.73
772.0	9.856
774.0	9.570
776.0	9.896
778.0	9.607
780.0	10.12
782.0	9.617
784.0	10.15
786.0	10.16
788.0	9.869
790.0	10.35
792.0	10.21
794.0	10.45
796.0	10.10
798.0	10.50
800.0	10.50

