Sample:	'1(EM)
File name:	
Operator:	qvt
Comment:	'

Instrument
Model:	F-4500 FL Spectrophotometer
Serial Number:	
ROM Version:	4000 05

Instrument Parameters
Measurement type:	Wavelength scan
Scan mode:	Emission
Data mode:	Fluorescence
EX WL:	200.0 nm
EM  Start WL:	300.0 nm
EM  End WL:	800.0 nm
Scan speed:	60 nm/min
Delay:	5 s
EX Slit:	1.0 nm
EM Slit:	5.0 nm
PMT Voltage:	700 V
Response:	8.0 s
Corrected spectra:	Off
Shutter control:	On

Data Points
nm	Data
300.0	18.00
302.0	13.60
304.0	11.50
306.0	10.97
308.0	11.05
310.0	10.89
312.0	10.31
314.0	10.57
316.0	10.18
318.0	10.43
320.0	10.15
322.0	10.03
324.0	10.53
326.0	10.62
328.0	10.14
330.0	10.41
332.0	10.39
334.0	9.782
336.0	10.17
338.0	10.08
340.0	9.686
342.0	9.924
344.0	10.07
346.0	10.32
348.0	9.999
350.0	10.24
352.0	9.990
354.0	9.810
356.0	10.33
358.0	10.11
360.0	9.765
362.0	9.856
364.0	10.48
366.0	10.08
368.0	10.01
370.0	9.648
372.0	9.754
374.0	9.655
376.0	9.385
378.0	9.497
380.0	9.657
382.0	9.974
384.0	9.067
386.0	9.304
388.0	9.252
390.0	9.214
392.0	9.607
394.0	9.313
396.0	9.556
398.0	8.968
400.0	9.817
402.0	9.659
404.0	9.413
406.0	9.592
408.0	9.620
410.0	9.612
412.0	9.776
414.0	9.852
416.0	9.716
418.0	9.300
420.0	9.341
422.0	9.570
424.0	9.980
426.0	9.760
428.0	10.06
430.0	10.07
432.0	9.576
434.0	8.900
436.0	8.650
438.0	8.963
440.0	8.640
442.0	9.190
444.0	9.036
446.0	10.13
448.0	9.839
450.0	9.141
452.0	9.137
454.0	8.997
456.0	8.639
458.0	9.137
460.0	9.610
462.0	8.886
464.0	9.276
466.0	9.064
468.0	9.144
470.0	8.923
472.0	9.373
474.0	9.579
476.0	9.853
478.0	9.549
480.0	9.776
482.0	9.329
484.0	9.286
486.0	9.236
488.0	9.310
490.0	8.963
492.0	8.731
494.0	9.011
496.0	9.009
498.0	8.728
500.0	8.373
502.0	8.712
504.0	8.558
506.0	9.005
508.0	9.307
510.0	9.258
512.0	8.736
514.0	8.725
516.0	8.618
518.0	8.543
520.0	8.685
522.0	8.611
524.0	9.152
526.0	8.618
528.0	8.905
530.0	8.700
532.0	8.432
534.0	8.398
536.0	8.798
538.0	8.157
540.0	8.535
542.0	8.724
544.0	8.860
546.0	8.866
548.0	8.274
550.0	8.212
552.0	8.178
554.0	9.053
556.0	9.006
558.0	9.080
560.0	8.282
562.0	8.378
564.0	7.947
566.0	8.393
568.0	8.411
570.0	8.130
572.0	7.993
574.0	8.290
576.0	8.152
578.0	7.924
580.0	8.091
582.0	7.832
584.0	8.619
586.0	7.605
588.0	7.912
590.0	7.682
592.0	7.873
594.0	7.680
596.0	7.529
598.0	7.585
600.0	7.758
602.0	7.605
604.0	8.056
606.0	7.903
608.0	7.987
610.0	7.380
612.0	7.850
614.0	7.948
616.0	7.946
618.0	8.233
620.0	7.635
622.0	7.451
624.0	7.758
626.0	7.913
628.0	6.973
630.0	7.439
632.0	7.191
634.0	7.483
636.0	8.186
638.0	7.804
640.0	7.940
642.0	7.942
644.0	8.057
646.0	8.279
648.0	7.383
650.0	7.181
652.0	7.611
654.0	7.716
656.0	8.093
658.0	7.878
660.0	7.379
662.0	7.481
664.0	7.611
666.0	7.257
668.0	7.823
670.0	7.599
672.0	7.259
674.0	7.197
676.0	7.462
678.0	7.893
680.0	7.646
682.0	7.645
684.0	7.731
686.0	7.426
688.0	7.586
690.0	7.411
692.0	7.526
694.0	7.383
696.0	7.432
698.0	7.147
700.0	7.733
702.0	6.947
704.0	7.430
706.0	7.713
708.0	7.492
710.0	7.514
712.0	6.937
714.0	6.578
716.0	7.430
718.0	7.393
720.0	6.865
722.0	7.262
724.0	6.861
726.0	6.908
728.0	7.070
730.0	6.529
732.0	6.488
734.0	6.887
736.0	7.041
738.0	6.635
740.0	6.991
742.0	7.009
744.0	6.590
746.0	7.011
748.0	7.036
750.0	6.972
752.0	6.656
754.0	7.225
756.0	7.026
758.0	7.102
760.0	7.152
762.0	7.091
764.0	6.926
766.0	6.574
768.0	6.525
770.0	6.282
772.0	6.492
774.0	6.910
776.0	6.691
778.0	6.634
780.0	6.637
782.0	6.410
784.0	6.276
786.0	6.614
788.0	6.268
790.0	6.329
792.0	6.378
794.0	6.679
796.0	6.440
798.0	6.564
800.0	6.657

