Sample:	'1(EM)
File name:	
Operator:	qvt
Comment:	'

Instrument
Model:	F-4500 FL Spectrophotometer
Serial Number:	
ROM Version:	4000 05

Instrument Parameters
Measurement type:	Wavelength scan
Scan mode:	Emission
Data mode:	Fluorescence
EX WL:	200.0 nm
EM  Start WL:	300.0 nm
EM  End WL:	800.0 nm
Scan speed:	60 nm/min
Delay:	5 s
EX Slit:	1.0 nm
EM Slit:	5.0 nm
PMT Voltage:	700 V
Response:	8.0 s
Corrected spectra:	Off
Shutter control:	On

Data Points
nm	Data
300.0	7.545
302.0	8.356
304.0	9.526
306.0	9.420
308.0	9.173
310.0	9.974
312.0	9.324
314.0	9.386
316.0	9.002
318.0	9.014
320.0	9.039
322.0	9.239
324.0	8.824
326.0	9.406
328.0	8.618
330.0	8.792
332.0	8.983
334.0	8.985
336.0	9.087
338.0	8.713
340.0	9.129
342.0	9.147
344.0	9.879
346.0	9.594
348.0	9.398
350.0	8.857
352.0	8.739
354.0	8.941
356.0	8.956
358.0	9.147
360.0	9.221
362.0	9.207
364.0	8.888
366.0	8.948
368.0	9.395
370.0	9.072
372.0	8.984
374.0	9.522
376.0	9.086
378.0	9.202
380.0	9.002
382.0	9.343
384.0	8.946
386.0	9.062
388.0	9.012
390.0	8.906
392.0	8.842
394.0	8.788
396.0	8.895
398.0	8.900
400.0	9.147
402.0	8.701
404.0	8.537
406.0	8.358
408.0	8.943
410.0	8.304
412.0	8.752
414.0	8.648
416.0	8.766
418.0	8.424
420.0	8.498
422.0	8.918
424.0	8.828
426.0	9.004
428.0	9.025
430.0	9.133
432.0	8.792
434.0	8.579
436.0	8.837
438.0	8.420
440.0	8.496
442.0	8.444
444.0	8.716
446.0	9.193
448.0	8.669
450.0	8.438
452.0	8.304
454.0	8.649
456.0	8.929
458.0	8.593
460.0	8.897
462.0	8.527
464.0	8.779
466.0	8.425
468.0	8.068
470.0	8.359
472.0	8.124
474.0	8.566
476.0	8.519
478.0	9.575
480.0	13.49
482.0	21.14
484.0	37.39
486.0	68.20
488.0	118.6
490.0	178.7
492.0	250.7
494.0	322.3
496.0	386.5
498.0	448.2
500.0	476.0
502.0	516.8
504.0	524.8
506.0	526.0
508.0	533.7
510.0	526.2
512.0	527.0
514.0	517.3
516.0	518.1
518.0	506.5
520.0	513.6
522.0	489.1
524.0	485.8
526.0	470.6
528.0	457.5
530.0	452.3
532.0	430.6
534.0	429.8
536.0	420.2
538.0	411.9
540.0	410.9
542.0	392.6
544.0	380.5
546.0	365.8
548.0	356.9
550.0	344.2
552.0	331.1
554.0	313.8
556.0	309.8
558.0	296.9
560.0	293.9
562.0	285.6
564.0	284.0
566.0	268.8
568.0	262.4
570.0	249.6
572.0	242.5
574.0	238.3
576.0	228.7
578.0	218.8
580.0	210.9
582.0	208.5
584.0	198.9
586.0	187.2
588.0	182.2
590.0	177.6
592.0	169.1
594.0	166.7
596.0	159.4
598.0	152.4
600.0	145.6
602.0	140.8
604.0	137.9
606.0	132.0
608.0	125.1
610.0	121.5
612.0	116.3
614.0	113.2
616.0	108.4
618.0	102.0
620.0	97.24
622.0	92.75
624.0	88.30
626.0	82.14
628.0	80.65
630.0	76.85
632.0	73.52
634.0	68.81
636.0	67.21
638.0	65.48
640.0	63.65
642.0	58.61
644.0	56.60
646.0	53.34
648.0	53.65
650.0	50.92
652.0	48.45
654.0	45.91
656.0	44.36
658.0	41.08
660.0	39.22
662.0	37.84
664.0	35.68
666.0	34.86
668.0	33.52
670.0	33.05
672.0	31.74
674.0	29.82
676.0	28.11
678.0	26.86
680.0	25.21
682.0	24.92
684.0	24.54
686.0	23.13
688.0	21.09
690.0	20.80
692.0	19.63
694.0	19.30
696.0	18.84
698.0	19.23
700.0	17.84
702.0	19.20
704.0	18.06
706.0	16.58
708.0	16.20
710.0	16.00
712.0	15.25
714.0	15.07
716.0	15.25
718.0	13.90
720.0	13.99
722.0	14.16
724.0	13.24
726.0	13.63
728.0	13.49
730.0	13.13
732.0	12.09
734.0	11.46
736.0	11.77
738.0	11.37
740.0	11.02
742.0	10.65
744.0	10.46
746.0	9.511
748.0	9.754
750.0	8.988
752.0	9.879
754.0	10.16
756.0	9.858
758.0	8.985
760.0	8.913
762.0	8.419
764.0	8.715
766.0	9.096
768.0	8.442
770.0	8.163
772.0	7.735
774.0	8.260
776.0	8.052
778.0	8.081
780.0	7.708
782.0	7.752
784.0	7.924
786.0	8.323
788.0	7.752
790.0	7.633
792.0	7.322
794.0	7.671
796.0	6.973
798.0	7.022
800.0	7.072

