Sample:	'1(EM)
File name:	
Operator:	qvt
Comment:	'

Instrument
Model:	F-4500 FL Spectrophotometer
Serial Number:	
ROM Version:	4000 05

Instrument Parameters
Measurement type:	Wavelength scan
Scan mode:	Emission
Data mode:	Fluorescence
EX WL:	200.0 nm
EM  Start WL:	300.0 nm
EM  End WL:	800.0 nm
Scan speed:	60 nm/min
Delay:	5 s
EX Slit:	1.0 nm
EM Slit:	5.0 nm
PMT Voltage:	700 V
Response:	8.0 s
Corrected spectra:	Off
Shutter control:	On

Data Points
nm	Data
300.0	12.88
302.0	12.68
304.0	12.21
306.0	12.21
308.0	11.62
310.0	11.44
312.0	10.88
314.0	11.87
316.0	12.47
318.0	11.57
320.0	11.94
322.0	13.07
324.0	12.70
326.0	11.43
328.0	11.53
330.0	12.52
332.0	12.99
334.0	12.37
336.0	11.51
338.0	11.43
340.0	11.43
342.0	11.20
344.0	11.07
346.0	11.78
348.0	12.92
350.0	12.11
352.0	11.58
354.0	11.39
356.0	11.93
358.0	12.11
360.0	12.81
362.0	11.87
364.0	11.61
366.0	12.05
368.0	11.42
370.0	10.88
372.0	10.84
374.0	11.27
376.0	11.48
378.0	11.11
380.0	10.65
382.0	11.46
384.0	10.90
386.0	11.30
388.0	11.01
390.0	11.54
392.0	11.55
394.0	10.96
396.0	10.73
398.0	11.18
400.0	11.70
402.0	11.09
404.0	12.26
406.0	11.19
408.0	11.91
410.0	11.00
412.0	10.76
414.0	10.64
416.0	11.17
418.0	11.29
420.0	10.59
422.0	9.921
424.0	11.02
426.0	10.76
428.0	11.04
430.0	11.68
432.0	11.08
434.0	10.81
436.0	10.66
438.0	10.41
440.0	10.65
442.0	11.00
444.0	11.10
446.0	11.03
448.0	9.814
450.0	10.35
452.0	10.54
454.0	10.01
456.0	10.00
458.0	10.52
460.0	11.18
462.0	10.95
464.0	10.40
466.0	10.34
468.0	10.80
470.0	10.49
472.0	10.57
474.0	9.918
476.0	10.88
478.0	12.11
480.0	16.18
482.0	27.88
484.0	51.17
486.0	98.82
488.0	174.0
490.0	272.4
492.0	367.6
494.0	457.8
496.0	558.9
498.0	621.6
500.0	675.6
502.0	712.5
504.0	736.8
506.0	757.2
508.0	779.5
510.0	774.3
512.0	765.0
514.0	749.2
516.0	735.1
518.0	732.8
520.0	728.1
522.0	703.9
524.0	696.5
526.0	686.6
528.0	662.0
530.0	646.5
532.0	647.6
534.0	621.6
536.0	606.7
538.0	601.6
540.0	587.7
542.0	563.9
544.0	549.4
546.0	541.2
548.0	536.5
550.0	517.5
552.0	499.0
554.0	488.4
556.0	483.4
558.0	457.8
560.0	436.9
562.0	425.5
564.0	421.2
566.0	422.4
568.0	405.1
570.0	387.9
572.0	380.7
574.0	361.5
576.0	353.2
578.0	332.1
580.0	318.8
582.0	312.6
584.0	308.4
586.0	295.8
588.0	282.5
590.0	273.7
592.0	264.7
594.0	254.4
596.0	245.6
598.0	239.7
600.0	234.3
602.0	223.1
604.0	213.3
606.0	198.7
608.0	192.9
610.0	184.7
612.0	177.7
614.0	173.2
616.0	169.1
618.0	167.7
620.0	156.4
622.0	142.7
624.0	134.9
626.0	133.2
628.0	124.9
630.0	120.5
632.0	112.6
634.0	112.0
636.0	109.4
638.0	105.1
640.0	95.53
642.0	88.19
644.0	88.68
646.0	81.50
648.0	76.44
650.0	72.86
652.0	70.71
654.0	66.35
656.0	64.20
658.0	61.35
660.0	57.50
662.0	54.12
664.0	53.68
666.0	48.64
668.0	46.95
670.0	47.32
672.0	46.10
674.0	42.05
676.0	40.53
678.0	36.96
680.0	35.57
682.0	34.35
684.0	32.41
686.0	31.25
688.0	32.25
690.0	30.05
692.0	28.08
694.0	26.14
696.0	25.71
698.0	24.53
700.0	24.93
702.0	23.67
704.0	22.24
706.0	20.87
708.0	20.53
710.0	20.03
712.0	20.70
714.0	20.61
716.0	20.18
718.0	19.19
720.0	17.67
722.0	17.45
724.0	16.75
726.0	16.40
728.0	16.10
730.0	16.05
732.0	16.09
734.0	15.10
736.0	14.82
738.0	14.28
740.0	12.78
742.0	12.06
744.0	12.04
746.0	12.40
748.0	11.98
750.0	11.54
752.0	11.78
754.0	11.14
756.0	11.01
758.0	10.75
760.0	10.82
762.0	10.47
764.0	10.18
766.0	9.726
768.0	10.16
770.0	9.311
772.0	9.128
774.0	8.819
776.0	8.944
778.0	8.985
780.0	8.832
782.0	9.334
784.0	8.472
786.0	8.266
788.0	9.745
790.0	8.567
792.0	8.526
794.0	8.982
796.0	8.317
798.0	8.334
800.0	8.741

