Sample:	'1(EM)
File name:	
Operator:	qvt
Comment:	'

Instrument
Model:	F-4500 FL Spectrophotometer
Serial Number:	
ROM Version:	4000 05

Instrument Parameters
Measurement type:	Wavelength scan
Scan mode:	Emission
Data mode:	Fluorescence
EX WL:	200.0 nm
EM  Start WL:	300.0 nm
EM  End WL:	800.0 nm
Scan speed:	60 nm/min
Delay:	2 s
EX Slit:	1.0 nm
EM Slit:	5.0 nm
PMT Voltage:	700 V
Response:	8.0 s
Corrected spectra:	Off
Shutter control:	On

Data Points
nm	Data
300.0	42.25
302.0	27.62
304.0	24.51
306.0	21.69
308.0	22.58
310.0	21.04
312.0	20.87
314.0	21.58
316.0	19.94
318.0	21.92
320.0	22.02
322.0	22.41
324.0	22.76
326.0	22.58
328.0	22.78
330.0	22.85
332.0	22.67
334.0	24.02
336.0	22.30
338.0	25.39
340.0	26.69
342.0	27.66
344.0	24.86
346.0	30.24
348.0	29.99
350.0	32.68
352.0	35.84
354.0	40.30
356.0	45.46
358.0	53.18
360.0	62.49
362.0	73.68
364.0	81.18
366.0	90.20
368.0	110.7
370.0	124.7
372.0	143.2
374.0	169.7
376.0	195.9
378.0	215.6
380.0	244.9
382.0	291.3
384.0	318.2
386.0	346.4
388.0	390.3
390.0	401.5
392.0	452.1
394.0	498.8
396.0	564.3
398.0	593.3
400.0	608.1
402.0	659.3
404.0	724.3
406.0	755.7
408.0	810.1
410.0	839.0
412.0	897.6
414.0	928.7
416.0	944.3
418.0	991.4
420.0	989.2
422.0	989.9
424.0	 1027
426.0	 1120
428.0	 1166
430.0	 1172
432.0	 1173
434.0	 1195
436.0	 1200
438.0	 1245
440.0	 1269
442.0	 1304
444.0	 1307
446.0	 1391
448.0	 1386
450.0	 1373
452.0	 1413
454.0	 1413
456.0	 1409
458.0	 1473
460.0	 1436
462.0	 1425
464.0	 1422
466.0	 1428
468.0	 1420
470.0	 1449
472.0	 1398
474.0	 1358
476.0	 1400
478.0	 1390
480.0	 1386
482.0	 1364
484.0	 1380
486.0	 1369
488.0	 1328
490.0	 1330
492.0	 1318
494.0	 1326
496.0	 1313
498.0	 1279
500.0	 1271
502.0	 1314
504.0	 1297
506.0	 1275
508.0	 1298
510.0	 1275
512.0	 1218
514.0	 1232
516.0	 1216
518.0	 1147
520.0	 1165
522.0	 1109
524.0	 1071
526.0	 1074
528.0	 1022
530.0	974.5
532.0	988.0
534.0	936.6
536.0	924.2
538.0	907.7
540.0	868.5
542.0	834.2
544.0	805.4
546.0	814.6
548.0	798.5
550.0	770.0
552.0	749.9
554.0	745.6
556.0	712.5
558.0	685.1
560.0	662.1
562.0	637.3
564.0	624.9
566.0	601.8
568.0	595.9
570.0	571.3
572.0	555.8
574.0	540.2
576.0	518.9
578.0	500.7
580.0	484.6
582.0	455.3
584.0	452.3
586.0	432.3
588.0	429.2
590.0	405.9
592.0	396.0
594.0	381.5
596.0	360.9
598.0	357.5
600.0	347.8
602.0	332.7
604.0	312.7
606.0	295.5
608.0	293.3
610.0	274.2
612.0	263.1
614.0	249.2
616.0	242.4
618.0	233.1
620.0	216.9
622.0	209.0
624.0	209.5
626.0	193.2
628.0	186.5
630.0	180.3
632.0	176.4
634.0	167.8
636.0	157.7
638.0	156.7
640.0	147.0
642.0	140.1
644.0	135.9
646.0	128.8
648.0	122.2
650.0	114.7
652.0	111.9
654.0	109.6
656.0	104.3
658.0	98.40
660.0	91.66
662.0	87.12
664.0	84.25
666.0	80.82
668.0	76.52
670.0	73.31
672.0	70.39
674.0	67.98
676.0	65.63
678.0	61.62
680.0	59.85
682.0	57.41
684.0	55.63
686.0	55.55
688.0	52.32
690.0	48.75
692.0	48.56
694.0	48.10
696.0	47.74
698.0	45.25
700.0	42.90
702.0	42.98
704.0	39.78
706.0	40.97
708.0	39.90
710.0	40.32
712.0	38.09
714.0	36.52
716.0	37.24
718.0	33.81
720.0	32.19
722.0	34.08
724.0	33.36
726.0	31.33
728.0	31.81
730.0	30.70
732.0	31.00
734.0	30.37
736.0	28.30
738.0	29.37
740.0	28.11
742.0	27.41
744.0	26.48
746.0	27.35
748.0	27.32
750.0	27.48
752.0	26.85
754.0	25.52
756.0	25.41
758.0	25.11
760.0	25.01
762.0	25.00
764.0	25.11
766.0	25.41
768.0	24.63
770.0	24.54
772.0	21.96
774.0	23.24
776.0	24.17
778.0	24.25
780.0	23.41
782.0	24.81
784.0	24.01
786.0	24.10
788.0	24.01
790.0	23.27
792.0	23.73
794.0	25.00
796.0	24.95
798.0	23.87
800.0	25.30

