Sample:	'1(EM)
File name:	
Operator:	qvt
Comment:	'

Instrument
Model:	F-4500 FL Spectrophotometer
Serial Number:	
ROM Version:	4000 05

Instrument Parameters
Measurement type:	Wavelength scan
Scan mode:	Emission
Data mode:	Fluorescence
EX WL:	200.0 nm
EM  Start WL:	300.0 nm
EM  End WL:	800.0 nm
Scan speed:	60 nm/min
Delay:	2 s
EX Slit:	1.0 nm
EM Slit:	5.0 nm
PMT Voltage:	700 V
Response:	8.0 s
Corrected spectra:	Off
Shutter control:	On

Data Points
nm	Data
300.0	73.50
302.0	41.11
304.0	29.44
306.0	24.13
308.0	21.88
310.0	20.56
312.0	20.25
314.0	20.92
316.0	20.05
318.0	19.86
320.0	18.82
322.0	19.05
324.0	19.71
326.0	19.03
328.0	20.68
330.0	21.39
332.0	21.58
334.0	20.60
336.0	20.01
338.0	21.11
340.0	20.80
342.0	20.78
344.0	19.52
346.0	20.46
348.0	20.88
350.0	20.08
352.0	19.49
354.0	19.41
356.0	20.33
358.0	19.29
360.0	19.46
362.0	20.07
364.0	19.23
366.0	20.40
368.0	18.88
370.0	17.80
372.0	17.85
374.0	18.95
376.0	19.74
378.0	19.13
380.0	20.27
382.0	20.23
384.0	19.79
386.0	19.33
388.0	19.45
390.0	19.08
392.0	18.67
394.0	17.94
396.0	18.40
398.0	17.95
400.0	17.82
402.0	18.49
404.0	19.49
406.0	20.60
408.0	19.77
410.0	19.82
412.0	19.27
414.0	19.39
416.0	18.75
418.0	18.04
420.0	19.64
422.0	19.48
424.0	19.12
426.0	18.62
428.0	18.60
430.0	19.08
432.0	19.04
434.0	19.02
436.0	18.30
438.0	19.12
440.0	18.16
442.0	17.96
444.0	17.17
446.0	19.04
448.0	19.70
450.0	18.94
452.0	19.31
454.0	18.42
456.0	18.40
458.0	19.69
460.0	18.49
462.0	19.26
464.0	19.53
466.0	19.91
468.0	20.31
470.0	18.60
472.0	18.32
474.0	18.85
476.0	18.45
478.0	19.52
480.0	19.08
482.0	18.36
484.0	18.45
486.0	18.98
488.0	18.16
490.0	18.07
492.0	18.30
494.0	18.47
496.0	17.86
498.0	18.30
500.0	18.10
502.0	17.76
504.0	16.86
506.0	16.64
508.0	17.39
510.0	17.89
512.0	18.50
514.0	17.80
516.0	17.60
518.0	17.81
520.0	18.41
522.0	18.16
524.0	18.08
526.0	16.81
528.0	18.16
530.0	19.08
532.0	18.37
534.0	17.49
536.0	17.59
538.0	17.34
540.0	18.21
542.0	18.26
544.0	17.18
546.0	16.42
548.0	17.10
550.0	16.84
552.0	17.45
554.0	17.10
556.0	16.92
558.0	18.33
560.0	18.32
562.0	16.71
564.0	18.50
566.0	17.53
568.0	17.24
570.0	17.46
572.0	17.14
574.0	18.19
576.0	18.23
578.0	18.35
580.0	18.42
582.0	17.59
584.0	17.40
586.0	16.16
588.0	16.83
590.0	16.55
592.0	17.02
594.0	16.38
596.0	16.91
598.0	16.29
600.0	16.67
602.0	16.42
604.0	16.18
606.0	16.60
608.0	16.94
610.0	17.39
612.0	17.67
614.0	16.86
616.0	16.66
618.0	17.03
620.0	17.00
622.0	17.06
624.0	16.42
626.0	16.18
628.0	17.62
630.0	16.13
632.0	16.64
634.0	16.88
636.0	15.92
638.0	16.02
640.0	16.60
642.0	16.96
644.0	17.26
646.0	16.26
648.0	16.64
650.0	15.90
652.0	16.03
654.0	16.23
656.0	15.44
658.0	15.57
660.0	15.67
662.0	16.22
664.0	14.95
666.0	15.10
668.0	15.86
670.0	15.54
672.0	16.14
674.0	16.11
676.0	16.53
678.0	15.95
680.0	15.15
682.0	15.66
684.0	15.75
686.0	15.91
688.0	15.77
690.0	15.47
692.0	15.87
694.0	15.69
696.0	16.03
698.0	16.22
700.0	15.65
702.0	15.81
704.0	15.69
706.0	14.81
708.0	15.35
710.0	15.51
712.0	15.66
714.0	16.03
716.0	14.86
718.0	15.14
720.0	15.92
722.0	15.02
724.0	15.03
726.0	14.58
728.0	14.90
730.0	14.74
732.0	14.51
734.0	14.61
736.0	13.61
738.0	14.38
740.0	15.08
742.0	14.97
744.0	15.49
746.0	15.63
748.0	15.39
750.0	15.68
752.0	15.67
754.0	15.68
756.0	15.84
758.0	14.73
760.0	14.18
762.0	14.92
764.0	14.72
766.0	14.19
768.0	14.61
770.0	15.10
772.0	14.32
774.0	13.42
776.0	14.19
778.0	14.25
780.0	14.42
782.0	15.63
784.0	14.90
786.0	15.17
788.0	15.08
790.0	15.68
792.0	14.91
794.0	14.30
796.0	14.97
798.0	15.28
800.0	15.06

