Sample:	'1(EM)
File name:	
Operator:	qvt
Comment:	'

Instrument
Model:	F-4500 FL Spectrophotometer
Serial Number:	
ROM Version:	4000 05

Instrument Parameters
Measurement type:	Wavelength scan
Scan mode:	Emission
Data mode:	Fluorescence
EX WL:	200.0 nm
EM  Start WL:	300.0 nm
EM  End WL:	800.0 nm
Scan speed:	60 nm/min
Delay:	2 s
EX Slit:	1.0 nm
EM Slit:	5.0 nm
PMT Voltage:	700 V
Response:	8.0 s
Corrected spectra:	Off
Shutter control:	On

Data Points
nm	Data
300.0	22.00
302.0	20.10
304.0	20.87
306.0	21.04
308.0	20.99
310.0	21.05
312.0	21.46
314.0	20.22
316.0	19.88
318.0	19.79
320.0	19.74
322.0	20.06
324.0	21.16
326.0	19.65
328.0	19.23
330.0	20.28
332.0	20.91
334.0	20.98
336.0	20.33
338.0	20.30
340.0	19.06
342.0	19.59
344.0	20.71
346.0	20.85
348.0	20.48
350.0	20.57
352.0	20.23
354.0	19.93
356.0	19.91
358.0	19.83
360.0	19.79
362.0	20.07
364.0	19.36
366.0	20.09
368.0	20.54
370.0	20.05
372.0	20.62
374.0	21.51
376.0	20.47
378.0	21.42
380.0	20.80
382.0	20.31
384.0	18.62
386.0	19.41
388.0	18.54
390.0	20.18
392.0	20.94
394.0	20.33
396.0	19.61
398.0	19.67
400.0	19.19
402.0	20.42
404.0	19.84
406.0	19.84
408.0	20.13
410.0	18.69
412.0	20.28
414.0	19.38
416.0	19.73
418.0	18.54
420.0	18.75
422.0	18.21
424.0	18.43
426.0	18.37
428.0	18.68
430.0	20.12
432.0	20.17
434.0	19.24
436.0	18.58
438.0	19.53
440.0	19.35
442.0	19.23
444.0	19.95
446.0	20.46
448.0	19.36
450.0	18.82
452.0	18.68
454.0	18.79
456.0	19.16
458.0	19.41
460.0	18.68
462.0	19.44
464.0	19.63
466.0	19.39
468.0	19.34
470.0	20.35
472.0	20.68
474.0	19.61
476.0	19.72
478.0	23.37
480.0	27.94
482.0	40.29
484.0	66.14
486.0	124.4
488.0	211.9
490.0	309.9
492.0	422.2
494.0	537.0
496.0	637.3
498.0	709.5
500.0	768.6
502.0	830.1
504.0	846.2
506.0	866.7
508.0	871.8
510.0	861.8
512.0	886.3
514.0	873.9
516.0	872.3
518.0	839.4
520.0	831.7
522.0	838.9
524.0	845.3
526.0	793.6
528.0	790.1
530.0	767.7
532.0	755.1
534.0	751.2
536.0	700.4
538.0	699.3
540.0	685.6
542.0	655.7
544.0	644.9
546.0	637.0
548.0	605.8
550.0	595.6
552.0	578.8
554.0	568.9
556.0	545.2
558.0	540.0
560.0	516.6
562.0	516.5
564.0	499.2
566.0	472.2
568.0	460.3
570.0	452.5
572.0	449.8
574.0	429.7
576.0	409.9
578.0	407.8
580.0	391.7
582.0	382.7
584.0	363.3
586.0	358.9
588.0	354.8
590.0	331.4
592.0	322.5
594.0	312.4
596.0	307.8
598.0	289.6
600.0	279.6
602.0	267.1
604.0	256.9
606.0	256.2
608.0	247.2
610.0	238.7
612.0	226.6
614.0	216.5
616.0	204.9
618.0	189.5
620.0	181.8
622.0	182.4
624.0	177.3
626.0	163.0
628.0	156.3
630.0	149.3
632.0	146.2
634.0	140.5
636.0	132.0
638.0	125.6
640.0	119.6
642.0	119.1
644.0	112.0
646.0	109.7
648.0	106.1
650.0	100.2
652.0	92.59
654.0	89.78
656.0	85.73
658.0	81.84
660.0	81.62
662.0	75.35
664.0	68.61
666.0	69.39
668.0	67.04
670.0	62.82
672.0	59.24
674.0	59.54
676.0	56.52
678.0	52.31
680.0	51.58
682.0	46.92
684.0	48.63
686.0	47.95
688.0	45.25
690.0	44.13
692.0	40.84
694.0	38.66
696.0	40.23
698.0	38.46
700.0	36.88
702.0	37.14
704.0	36.94
706.0	34.94
708.0	33.19
710.0	34.08
712.0	32.75
714.0	31.48
716.0	30.19
718.0	29.26
720.0	28.17
722.0	27.33
724.0	26.55
726.0	25.98
728.0	27.89
730.0	25.41
732.0	24.94
734.0	25.04
736.0	24.41
738.0	23.28
740.0	23.31
742.0	21.47
744.0	22.10
746.0	20.92
748.0	21.38
750.0	21.15
752.0	19.67
754.0	20.32
756.0	19.90
758.0	18.98
760.0	19.33
762.0	18.37
764.0	18.91
766.0	17.44
768.0	18.73
770.0	18.26
772.0	17.73
774.0	18.30
776.0	18.36
778.0	17.82
780.0	18.05
782.0	17.69
784.0	18.65
786.0	17.93
788.0	18.52
790.0	18.49
792.0	17.52
794.0	17.37
796.0	16.98
798.0	16.87
800.0	16.60

