Sample:	'1(EM)
File name:	
Operator:	qvt
Comment:	'

Instrument
Model:	F-4500 FL Spectrophotometer
Serial Number:	
ROM Version:	4000 05

Instrument Parameters
Measurement type:	Wavelength scan
Scan mode:	Emission
Data mode:	Fluorescence
EX WL:	200.0 nm
EM  Start WL:	300.0 nm
EM  End WL:	800.0 nm
Scan speed:	60 nm/min
Delay:	2 s
EX Slit:	1.0 nm
EM Slit:	5.0 nm
PMT Voltage:	700 V
Response:	8.0 s
Corrected spectra:	Off
Shutter control:	On

Data Points
nm	Data
300.0	32.88
302.0	24.16
304.0	21.23
306.0	20.07
308.0	18.73
310.0	18.55
312.0	17.97
314.0	18.12
316.0	18.23
318.0	18.64
320.0	19.42
322.0	18.86
324.0	19.58
326.0	19.25
328.0	21.74
330.0	21.09
332.0	21.89
334.0	21.55
336.0	22.41
338.0	23.71
340.0	25.31
342.0	26.57
344.0	27.45
346.0	30.21
348.0	33.82
350.0	35.29
352.0	38.62
354.0	44.45
356.0	46.41
358.0	53.86
360.0	61.68
362.0	67.96
364.0	77.63
366.0	84.91
368.0	99.89
370.0	110.0
372.0	121.3
374.0	137.1
376.0	154.6
378.0	169.6
380.0	186.7
382.0	209.8
384.0	231.8
386.0	249.8
388.0	270.2
390.0	294.2
392.0	323.8
394.0	356.1
396.0	373.9
398.0	398.7
400.0	420.0
402.0	452.3
404.0	496.3
406.0	527.3
408.0	536.2
410.0	580.3
412.0	594.5
414.0	639.1
416.0	663.4
418.0	695.0
420.0	708.9
422.0	747.1
424.0	758.3
426.0	785.3
428.0	806.9
430.0	825.6
432.0	856.6
434.0	890.8
436.0	901.6
438.0	933.3
440.0	942.2
442.0	952.0
444.0	981.5
446.0	998.8
448.0	 1022
450.0	 1042
452.0	 1038
454.0	 1041
456.0	 1039
458.0	 1052
460.0	 1063
462.0	 1075
464.0	 1062
466.0	 1072
468.0	 1053
470.0	 1028
472.0	 1065
474.0	 1044
476.0	 1046
478.0	 1075
480.0	 1067
482.0	 1057
484.0	 1057
486.0	 1037
488.0	 1020
490.0	 1008
492.0	 1013
494.0	 1015
496.0	 1026
498.0	 1018
500.0	 1000
502.0	998.4
504.0	974.6
506.0	984.8
508.0	973.6
510.0	962.4
512.0	940.8
514.0	920.0
516.0	913.4
518.0	888.6
520.0	875.6
522.0	864.2
524.0	851.9
526.0	820.5
528.0	817.2
530.0	787.5
532.0	775.9
534.0	766.4
536.0	732.1
538.0	713.5
540.0	698.6
542.0	658.0
544.0	643.5
546.0	639.3
548.0	617.6
550.0	609.6
552.0	615.1
554.0	585.8
556.0	556.8
558.0	545.6
560.0	527.4
562.0	517.6
564.0	515.0
566.0	490.5
568.0	479.8
570.0	463.3
572.0	444.1
574.0	425.9
576.0	416.3
578.0	403.9
580.0	394.8
582.0	381.1
584.0	365.1
586.0	347.9
588.0	337.7
590.0	329.6
592.0	315.0
594.0	301.3
596.0	296.0
598.0	283.9
600.0	274.2
602.0	261.5
604.0	245.7
606.0	250.9
608.0	236.7
610.0	230.8
612.0	226.0
614.0	210.8
616.0	203.8
618.0	197.5
620.0	188.2
622.0	178.6
624.0	176.3
626.0	167.4
628.0	162.9
630.0	153.7
632.0	144.6
634.0	142.7
636.0	138.4
638.0	131.4
640.0	124.4
642.0	117.9
644.0	112.0
646.0	108.4
648.0	102.5
650.0	95.98
652.0	93.91
654.0	90.12
656.0	86.45
658.0	81.12
660.0	75.50
662.0	75.96
664.0	70.66
666.0	70.04
668.0	67.24
670.0	63.12
672.0	59.84
674.0	59.49
676.0	56.73
678.0	54.51
680.0	52.21
682.0	50.14
684.0	47.96
686.0	46.09
688.0	43.15
690.0	44.43
692.0	42.43
694.0	39.98
696.0	38.92
698.0	36.24
700.0	36.80
702.0	36.53
704.0	34.62
706.0	35.79
708.0	33.24
710.0	33.59
712.0	32.72
714.0	32.26
716.0	30.73
718.0	30.37
720.0	28.97
722.0	29.24
724.0	27.96
726.0	27.63
728.0	27.39
730.0	26.32
732.0	26.92
734.0	26.22
736.0	25.49
738.0	24.65
740.0	22.70
742.0	22.39
744.0	23.18
746.0	22.03
748.0	20.62
750.0	20.74
752.0	21.22
754.0	20.84
756.0	20.37
758.0	20.08
760.0	19.64
762.0	19.61
764.0	19.73
766.0	20.64
768.0	19.84
770.0	19.24
772.0	18.97
774.0	19.21
776.0	19.55
778.0	18.77
780.0	19.01
782.0	19.10
784.0	19.11
786.0	18.83
788.0	18.18
790.0	19.01
792.0	18.05
794.0	18.24
796.0	18.47
798.0	18.81
800.0	17.89

