Sample:	'1(EM)
File name:	
Operator:	qvt
Comment:	'

Instrument
Model:	F-4500 FL Spectrophotometer
Serial Number:	
ROM Version:	4000 05

Instrument Parameters
Measurement type:	Wavelength scan
Scan mode:	Emission
Data mode:	Fluorescence
EX WL:	200.0 nm
EM  Start WL:	300.0 nm
EM  End WL:	800.0 nm
Scan speed:	60 nm/min
Delay:	2 s
EX Slit:	1.0 nm
EM Slit:	5.0 nm
PMT Voltage:	700 V
Response:	8.0 s
Corrected spectra:	Off
Shutter control:	On

Data Points
nm	Data
300.0	17.13
302.0	16.97
304.0	16.61
306.0	16.78
308.0	16.38
310.0	17.47
312.0	16.76
314.0	15.46
316.0	16.35
318.0	16.56
320.0	16.88
322.0	16.45
324.0	16.83
326.0	16.67
328.0	16.68
330.0	17.38
332.0	16.55
334.0	16.99
336.0	16.61
338.0	16.61
340.0	18.29
342.0	17.04
344.0	16.38
346.0	17.02
348.0	17.13
350.0	18.58
352.0	17.71
354.0	17.71
356.0	17.60
358.0	17.66
360.0	17.84
362.0	18.20
364.0	17.95
366.0	18.32
368.0	18.01
370.0	17.67
372.0	17.92
374.0	18.20
376.0	18.56
378.0	18.96
380.0	18.18
382.0	18.10
384.0	19.24
386.0	18.46
388.0	17.12
390.0	18.22
392.0	18.00
394.0	18.52
396.0	17.80
398.0	16.98
400.0	17.72
402.0	17.84
404.0	19.33
406.0	19.09
408.0	18.56
410.0	18.45
412.0	18.19
414.0	18.25
416.0	18.48
418.0	18.43
420.0	17.82
422.0	18.51
424.0	17.64
426.0	17.22
428.0	19.51
430.0	18.78
432.0	19.30
434.0	17.93
436.0	18.71
438.0	19.03
440.0	19.74
442.0	18.89
444.0	18.29
446.0	18.02
448.0	17.99
450.0	18.58
452.0	18.21
454.0	17.71
456.0	17.80
458.0	19.00
460.0	19.50
462.0	20.38
464.0	19.86
466.0	18.72
468.0	18.24
470.0	18.92
472.0	19.03
474.0	17.94
476.0	17.90
478.0	18.85
480.0	19.61
482.0	18.56
484.0	18.43
486.0	19.27
488.0	19.11
490.0	18.08
492.0	17.00
494.0	17.74
496.0	17.31
498.0	18.39
500.0	18.37
502.0	18.59
504.0	18.37
506.0	18.09
508.0	18.06
510.0	17.23
512.0	17.92
514.0	18.72
516.0	18.72
518.0	18.03
520.0	17.99
522.0	18.21
524.0	17.47
526.0	17.41
528.0	17.85
530.0	17.96
532.0	17.81
534.0	16.80
536.0	17.87
538.0	18.24
540.0	17.15
542.0	17.81
544.0	17.20
546.0	18.33
548.0	17.75
550.0	16.84
552.0	18.11
554.0	18.28
556.0	18.88
558.0	17.40
560.0	16.32
562.0	16.47
564.0	16.34
566.0	17.25
568.0	17.46
570.0	16.57
572.0	17.14
574.0	17.75
576.0	17.66
578.0	18.10
580.0	16.88
582.0	16.53
584.0	17.82
586.0	17.11
588.0	18.22
590.0	17.51
592.0	16.83
594.0	16.09
596.0	17.35
598.0	17.12
600.0	16.68
602.0	17.24
604.0	17.12
606.0	17.35
608.0	16.75
610.0	16.94
612.0	17.66
614.0	18.35
616.0	17.99
618.0	18.42
620.0	17.91
622.0	17.59
624.0	16.69
626.0	17.41
628.0	17.37
630.0	17.85
632.0	18.29
634.0	17.59
636.0	16.50
638.0	17.58
640.0	17.09
642.0	17.38
644.0	17.58
646.0	17.21
648.0	17.07
650.0	17.23
652.0	17.88
654.0	16.64
656.0	15.56
658.0	16.28
660.0	16.66
662.0	16.97
664.0	17.64
666.0	18.30
668.0	17.69
670.0	16.90
672.0	16.13
674.0	15.96
676.0	16.55
678.0	16.12
680.0	16.71
682.0	15.67
684.0	16.03
686.0	16.22
688.0	15.77
690.0	16.49
692.0	15.90
694.0	15.29
696.0	15.67
698.0	15.41
700.0	15.05
702.0	16.53
704.0	15.58
706.0	15.40
708.0	14.97
710.0	16.18
712.0	16.25
714.0	15.72
716.0	16.73
718.0	16.06
720.0	15.35
722.0	14.82
724.0	14.48
726.0	15.85
728.0	15.56
730.0	13.86
732.0	14.41
734.0	14.73
736.0	14.20
738.0	14.89
740.0	15.18
742.0	14.84
744.0	14.75
746.0	14.71
748.0	14.53
750.0	14.29
752.0	14.70
754.0	14.21
756.0	14.49
758.0	14.68
760.0	15.08
762.0	14.24
764.0	14.92
766.0	14.48
768.0	14.89
770.0	15.10
772.0	15.05
774.0	14.54
776.0	14.63
778.0	14.57
780.0	14.52
782.0	14.84
784.0	15.40
786.0	14.66
788.0	14.27
790.0	14.31
792.0	15.28
794.0	14.80
796.0	14.38
798.0	13.85
800.0	13.96

