Sample:	'1(EM)
File name:	
Operator:	qvt
Comment:	'

Instrument
Model:	F-4500 FL Spectrophotometer
Serial Number:	
ROM Version:	4000 05

Instrument Parameters
Measurement type:	Wavelength scan
Scan mode:	Emission
Data mode:	Fluorescence
EX WL:	200.0 nm
EM  Start WL:	300.0 nm
EM  End WL:	800.0 nm
Scan speed:	60 nm/min
Delay:	2 s
EX Slit:	1.0 nm
EM Slit:	5.0 nm
PMT Voltage:	700 V
Response:	8.0 s
Corrected spectra:	Off
Shutter control:	On

Data Points
nm	Data
300.0	15.00
302.0	14.57
304.0	14.91
306.0	14.96
308.0	14.14
310.0	14.80
312.0	14.93
314.0	14.60
316.0	14.65
318.0	14.48
320.0	14.49
322.0	14.27
324.0	14.84
326.0	14.60
328.0	14.78
330.0	13.89
332.0	14.67
334.0	14.58
336.0	14.38
338.0	14.70
340.0	14.56
342.0	14.56
344.0	14.44
346.0	14.99
348.0	15.12
350.0	14.21
352.0	14.05
354.0	14.83
356.0	15.52
358.0	14.70
360.0	14.53
362.0	13.59
364.0	14.37
366.0	14.63
368.0	14.49
370.0	13.82
372.0	13.69
374.0	14.14
376.0	14.48
378.0	14.85
380.0	14.73
382.0	13.91
384.0	14.85
386.0	13.90
388.0	14.20
390.0	14.52
392.0	14.40
394.0	14.87
396.0	14.77
398.0	14.15
400.0	13.96
402.0	13.63
404.0	14.42
406.0	14.69
408.0	14.85
410.0	14.43
412.0	14.08
414.0	13.80
416.0	13.68
418.0	14.19
420.0	14.15
422.0	13.71
424.0	13.84
426.0	14.46
428.0	14.12
430.0	13.33
432.0	13.21
434.0	13.41
436.0	13.53
438.0	13.58
440.0	13.41
442.0	13.50
444.0	13.93
446.0	13.66
448.0	14.21
450.0	13.97
452.0	13.36
454.0	13.96
456.0	13.96
458.0	14.02
460.0	12.61
462.0	12.91
464.0	12.93
466.0	13.33
468.0	12.55
470.0	13.15
472.0	12.60
474.0	13.17
476.0	12.68
478.0	14.49
480.0	18.93
482.0	30.03
484.0	54.70
486.0	98.67
488.0	161.9
490.0	250.2
492.0	338.4
494.0	430.8
496.0	519.8
498.0	595.4
500.0	634.9
502.0	668.6
504.0	686.8
506.0	702.4
508.0	691.7
510.0	685.4
512.0	688.3
514.0	685.7
516.0	682.6
518.0	675.3
520.0	659.1
522.0	655.6
524.0	643.2
526.0	625.5
528.0	623.3
530.0	609.2
532.0	595.2
534.0	579.6
536.0	570.2
538.0	550.2
540.0	535.7
542.0	527.4
544.0	515.0
546.0	500.1
548.0	486.8
550.0	476.8
552.0	464.6
554.0	447.9
556.0	428.6
558.0	424.6
560.0	404.1
562.0	386.3
564.0	375.9
566.0	362.7
568.0	353.6
570.0	347.5
572.0	329.9
574.0	327.9
576.0	313.5
578.0	306.9
580.0	293.3
582.0	284.0
584.0	275.9
586.0	266.1
588.0	261.0
590.0	251.8
592.0	242.8
594.0	230.7
596.0	228.8
598.0	218.8
600.0	210.5
602.0	203.0
604.0	196.7
606.0	188.9
608.0	183.4
610.0	175.5
612.0	170.2
614.0	161.8
616.0	162.7
618.0	153.4
620.0	147.4
622.0	137.8
624.0	132.9
626.0	132.5
628.0	123.3
630.0	116.0
632.0	113.1
634.0	108.3
636.0	102.2
638.0	94.45
640.0	91.96
642.0	89.04
644.0	87.19
646.0	82.80
648.0	77.22
650.0	75.38
652.0	70.74
654.0	69.26
656.0	68.80
658.0	63.77
660.0	61.75
662.0	60.07
664.0	57.81
666.0	54.57
668.0	51.96
670.0	48.71
672.0	45.96
674.0	43.35
676.0	42.26
678.0	39.85
680.0	39.95
682.0	37.85
684.0	38.02
686.0	35.84
688.0	35.59
690.0	32.68
692.0	32.25
694.0	30.38
696.0	30.84
698.0	31.16
700.0	29.42
702.0	28.44
704.0	28.01
706.0	26.92
708.0	25.90
710.0	25.64
712.0	24.31
714.0	23.81
716.0	23.33
718.0	23.15
720.0	22.96
722.0	21.81
724.0	20.91
726.0	20.97
728.0	20.32
730.0	19.45
732.0	19.87
734.0	18.50
736.0	18.44
738.0	17.84
740.0	17.88
742.0	17.49
744.0	16.68
746.0	16.23
748.0	16.14
750.0	15.70
752.0	15.27
754.0	15.26
756.0	15.61
758.0	14.36
760.0	14.58
762.0	14.65
764.0	14.57
766.0	14.37
768.0	14.13
770.0	14.05
772.0	14.09
774.0	13.39
776.0	13.11
778.0	13.33
780.0	12.81
782.0	13.02
784.0	12.06
786.0	12.10
788.0	11.87
790.0	11.56
792.0	11.64
794.0	11.56
796.0	11.63
798.0	12.17
800.0	11.64

